"Rubus_caesius_F_1"	"Taraxacum_officinale_F_1"	"Corylus_avellana_F_1"	"Impatiens_glandulifera_F_1"	"Buddleja_davidii_F_1"	"Buddleja_davidii_F_2"	"Buddleja_davidii_F_3"	"Reynoutria_japonica_F_1"	"Reynoutria_japonica_F_2"	"Taraxacum_officinale_F_2"	"Prunus_cerasifera_F_1"	"Eupatorium_cannabinum_F_1"	"Fraxinus_excelsior_F_1"	"Plantago_major_F_1"	"Impatiens_glandulifera_F_2"	"Rosa_canina_F_1"	"Rubus_caesius_F_2"	"Hedera_helix_F_1"	"Hedera_helix_F_2"	"Corylus_avellana_F_2"	"Plantago_major_F_2"	"Cornus_sanguinea_F_1"	"Prunus_cerasifera_F_2"	"Juglans_regia_F_1"	"Prunus_spinoza_F_1"	"Wavelength"
309.73	328.17	335.75	285.29	174.32	374.66	400.23	494.91	559.62	461.76	450.68	309.5	770.14	313.35	169.68	87.1	370.93	392.53	477.15	138.35	298.98	268.33	351.02	293.78	339.93	178.796
309.73	328.17	335.75	285.29	174.32	374.66	400.23	494.91	559.62	461.76	450.68	309.5	770.14	313.35	169.68	87.1	370.93	392.53	477.15	138.35	298.98	268.33	351.02	293.78	339.93	179.181
309.73	328.17	335.75	285.29	174.32	374.66	400.23	494.91	559.62	461.76	450.68	309.5	770.14	313.35	169.68	87.1	370.93	392.53	477.15	138.35	298.98	268.33	351.02	293.78	339.93	179.565
-38.17	-7.26	350.54	772.58	52.96	64.52	116.67	337.37	-278.76	198.39	21.51	86.02	-40.86	-451.08	-52.69	77.96	-314.25	128.49	88.71	156.72	108.33	-755.91	8.33	190.59	-353.49	179.95
35.73	88.04	18.42	107.59	84.92	95.98	101.1	69.81	82.39	51.82	149.42	92.87	60.44	72.57	109.08	96.43	114.17	144.29	129.9	132.59	91.21	118.16	94.97	133.17	27.08	180.335
-28.77	-26	-102.8	-105.94	-60.71	-82.24	-74.7	-28.07	-7.91	-54.94	-70.49	-98.26	-29.64	-37.32	-53.54	-9.01	-28.87	25.57	-3.4	-63.32	-13.79	-26.57	-37.95	-58.58	-31.07	180.719
18.96	230.5	8.25	107.37	175.49	149.31	73.18	175.59	165.18	128.19	84.87	128.88	90.77	73.97	86.25	110.12	47.1	102.85	185.17	137.08	81.88	215.52	85.61	177.85	109.09	181.104
-18.53	-29.55	59.21	94.76	12.41	41.96	43.94	118.82	127.91	-25.06	47.55	-13.05	86.25	38.34	78.09	-46.5	-10.31	-54.2	-37.65	104.84	35.61	14.22	36.31	11.48	-64.51	181.488
27.11	13.26	23.68	30.5	37.54	33.43	51.79	-13.36	35.1	-9.9	43.78	24.68	-4.58	20.75	88.26	41.84	19.88	52.89	4.23	20.07	54.2	-40.1	84.75	67.39	9.48	181.873
-1.95	-13.52	-30.84	29.44	12.53	44.14	-1.13	19.07	33.12	23.27	17.27	16.72	11.93	30.4	27.21	-21.69	-30.96	13.74	31.08	-1.49	6.8	-6.1	12.9	30.62	32.13	182.257
-106.45	-152.08	73.93	-194.13	3.8	29.8	-22.78	-150.79	-165.97	29.94	-9.17	38.97	-36.1	-152.29	3.15	-59.46	-2.36	-26.5	-55.44	71.56	-104.08	-85.67	-2.36	-166.98	30.73	182.642
