"Wavelength_A__P_"	"Impatiens_glandulifera_A__Er_1"	"Impatiens_glandulifera_A__Lr_2"	"Impatiens_glandulifera_A__Lr_3"	"Impatiens_glandulifera_A__Lr_4"	"Impatiens_glandulifera_A__Er_5"	"Cirsium_arvense_A__P_1"	"Convolvulus_sepium_A__P_1"	"Convolvulus_sepium_A__P_2"	"Convolvulus_sepium_A__P_3"	"Convolvulus_sepium_A__P_4"	"Rubus_caesius_A__P_1"	"Rubus_caesius_A__P_2"	"Saponaria_officinalis_A__P_1"	"Trifolium_repens_A__P_1"	"Trifolium_repens_A__P_2"
178.796	486.43	326.36	184.05	605.43	400.11	411.09	478.73	344.68	318.89	513.24	555.32	406.79	460.86	457.69	595.93
179.181	486.43	326.36	184.05	605.43	400.11	411.09	478.73	344.68	318.89	513.24	555.32	406.79	460.86	457.69	595.93
179.565	486.43	326.36	184.05	605.43	400.11	411.09	478.73	344.68	318.89	513.24	555.32	406.79	460.86	457.69	595.93
179.95	201.08	40.05	-517.47	126.88	219.62	404.84	-45.16	582.53	439.52	-44.89	46.51	16.13	-139.25	175.81	194.62
180.335	138.65	97.89	67.61	57.85	122.41	134.31	92.61	143.48	101.07	37.58	39.01	70.69	67.64	92.41	56.42
180.719	-11.35	-1.97	28.14	43.52	-73.13	8.08	-33.38	-85.75	-41.56	-35.48	-58.31	-54.07	-50.93	-79.64	-25.5
181.104	146.76	122.05	69.7	101.77	110.85	83.4	51.47	115.08	149.46	99.46	153.09	98.04	159.23	109.14	106.29
181.488	6.29	32.93	-91.67	-68.53	-91.32	68.18	90.91	-38.75	87.82	11.71	68.82	-0.23	-5.94	102.45	24.48
181.873	22.19	6.49	34.9	4.58	45.8	52.59	68.66	-10.17	8.83	24.9	67.59	-1.29	60.75	54.48	21.99
182.257	-18.03	-1.18	-5.12	39.07	13.69	-18.4	-21.8	40.18	44.36	31.37	-10.92	-6.79	25.33	5.24	42.43
182.642	-122.92	-164.68	-168.84	68.19	80.3	-175.21	-122.06	-21.28	13.97	-69.27	-70.13	-64.47	-89.83	-112.46	113.75
183.026	178.51	195.2	278.15	279.08	145.63	178.94	103.72	371.85	256.95	154.23	220.99	231.23	354.87	139.68	238.68
183.411	108.71	118.3	66.18	83.1	66.76	76.57	69.08	118.36	49.39	193.23	103.64	146.55	130.77	96.44	93.2
183.795	82.18	33.77	118.42	33.1	14.67	12.38	68.18	97.07	-0.11	47.77	20.47	40.31	50.57	135.29	3.25
184.179	147.68	59.06	2.86	29.1	-54.57	69.2	290.4	-12.93	124.85	154.1	83.2	184.83	103.25	54.64	54.18
184.564	-36.48	2.67	-32.44	-37.22	-56.64	55.46	-18.36	-62.97	25.62	63.96	-17.68	-49.38	-48.26	-59.43	30.52
184.948	-491.4	-321.24	-706.72	-341.94	-636.29	-532.8	-118.28	135.22	-579.84	-483.6	-856.72	11.83	-1106.99	-60.75	-678.49
185.332	92.92	69.2	79.27	128.69	61.02	93.71	55.92	120.42	76.59	63.22	95.33	45.54	76.86	70.39	116.12
185.716	-3.47	2.82	9.38	6.94	31.52	-25.36	38.78	35.03	22.76	46.25	-18.01	12.45	26.63	37.55	18.37
186.1	-18.06	94.54	-77.29	65.23	88.34	37.6	157.95	15.7	-37.94	-11.39	138.21	209.43	-38.41	52.96	-26.15
186.484	18.98	28.02	-1.49	20.35	36.49	4.69	-3.02	34.82	27.27	47.65	21.85	30.53	72.32	38.9	37.75
186.868	78.98	30.93	77.96	107.28	35.51	65.63	176.28	168.8	172.3	25.27	202.9	13.21	88.81	68.06	198.11
187.252	49.04	30.73	55.24	62.04	57.8	63.05	42.33	52.1	56.65	40.06	31.76	62.37	49.06	55.4	14.41
187.636	137.9	54.04	72.29	60.21	38.7	85.27	138.97	85.17	111.18	112.37	30.58	68.33	99.88	47.95	48.48
188.02	16.16	33.68	16.28	24.36	-7.74	-4.38	93.36	55.51	57.67	40.82	3.49	15.49	97.38	8.98	29.32
188.404	35.49	27.33	34.07	33.69	24.67	33.96	66.8	50.33	54.13	48.67	24.92	26.58	102.02	29.17	51.68
188.788	39.16	21.25	15.3	16.15	7.3	5.45	65.74	34.94	33.94	38.99	13.34	19.64	89.69	2.6	37.08
189.172	28.2	20.21	25.4	38.88	-1.46	21.87	85.55	42.47	54.3	50.59	19.87	25.39	100.06	12.6	37.16
