"Convolvulus_sepium_D__P_1"	"Convolvulus_sepium_D__P_2"	"Convolvulus_sepium_D__P_3"	"Convolvulus_sepium_D__P_4"	"Convolvulus_sepium_D__P_5"	"Convolvulus_sepium_D__P_6"	"Convolvulus_sepium_D__P_7"	"Valeriana_officinalis_D__P_1"	"Valeriana_officinalis_D__P_2"	"Valeriana_officinalis_D__P_3"	"Valeriana_officinalis_D__P_4"	"Filipendula_ulmaria_D__P_1"	"Filipendula_ulmaria_D__P_2"	"Filipendula_ulmaria_D__P_3"	"Filipendula_ulmaria_D__P_4"	"Valeriana_officinalis_D__P_5"	"Valeriana_officinalis_D__P_6"	"Impatiens_glandulifera_D__Lr_1"	"Impatiens_glandulifera_D__Er_2"	"Impatiens_glandulifera_D__Er_3"	"Helminthia_echioides_D__P_1"	"Helminthia_echioides_D__P_2"	"Helminthia_echioides_D__P_3"	"Helminthia_echioides_D__P_4"	"Scabiosa_columbaria_D__P_1"	"Scabiosa_columbaria_D__P_2"	"Scabiosa_columbaria_D__P_3"	"Scabiosa_columbaria_D__P_4"	"Buddleja_davidii_D__P_1"	"Buddleja_davidii_D__P_2"	"Buddleja_davidii_D__P_3"	"Buddleja_davidii_D__P_4"
406.9	425.11	323.64	295.02	465.38	561.76	474.55	376.92	444.34	480.2	498.08	419.57	565.16	503.85	330.54	570.25	464.48	311.65	505.32	111.65	352.15	611.09	561.99	518.55	113.91	329.52	380.2	460.29	317.87	460.86	547.51	353.39
406.9	425.11	323.64	295.02	465.38	561.76	474.55	376.92	444.34	480.2	498.08	419.57	565.16	503.85	330.54	570.25	464.48	311.65	505.32	111.65	352.15	611.09	561.99	518.55	113.91	329.52	380.2	460.29	317.87	460.86	547.51	353.39
406.9	425.11	323.64	295.02	465.38	561.76	474.55	376.92	444.34	480.2	498.08	419.57	565.16	503.85	330.54	570.25	464.48	311.65	505.32	111.65	352.15	611.09	561.99	518.55	113.91	329.52	380.2	460.29	317.87	460.86	547.51	353.39
-375	-280.11	106.72	167.74	-506.99	-260.75	-123.92	345.16	156.99	-368.55	-197.04	93.82	-84.95	543.55	213.44	-94.35	-595.16	525.54	202.96	-723.92	-212.63	-100.54	-329.03	-462.37	287.9	322.85	120.7	95.97	-311.29	153.23	-113.98	104.3
136.54	105.9	79.99	69	79.83	130.03	70.46	94.29	105.58	167.93	111.96	91.93	143.58	65.69	51.56	46.14	79.57	84.99	85.51	102.89	96.73	67.64	128.92	39.17	93.94	45.1	36.8	40.3	139.75	25.62	125.81	96.89
-118.12	-81.78	-57.24	49.13	-24.5	15.15	-34.08	-35.65	-12.55	-50.57	-24.47	31.94	-46.33	-47.33	-3.94	-18.12	-30.64	-3.64	-18.06	-43.96	-69.66	-41.32	-54.21	-39.25	-40.62	-61.38	-65.65	0.17	-76.57	-137.98	2.4	6.01
132.66	130.35	127.16	80.94	40.96	141.75	107.81	142.44	155.99	85.9	170.68	74.51	120.43	36.44	214.24	97.5	163.95	188.75	173.82	94.84	31.88	-16.01	197.64	111.2	82.47	109.28	74.71	51.33	106.58	92.44	63.26	90.57
21.27	58.62	-0.17	-24.24	-17.6	-15.5	99.01	-32.4	17.25	85.14	75.7	55.77	113.99	-48.14	-14.34	69.99	-13.4	84.09	70.1	118.12	27.56	25.76	39.63	139.39	-24.3	24.3	16.84	133.62	127.39	-26.46	13.52	29.14
23.81	56.87	-4.85	18.31	80.05	43.13	62.16	2.89	-12.94	25.2	5.25	49.28	18.81	59.85	-0.55	3.61	-0.95	23.56	30.72	37.29	-2.96	-30.8	-0.6	61.49	59.28	53.36	60.12	35.15	3.83	44.43	2.59	18.81
-4.88	31.29	-11.46	21.38	3.26	33.34	6.8	15.28	6.17	28.7	0.77	27.47	-17.89	-22.31	-16.35	32.88	-14.43	-14.03	-1.97	-12.8	-0.7	-9.77	3.98	27.83	0.57	0.53	-15.37	33.36	5.59	-3.19	-22.62	-25.57
-172.13	26.22	-1.36	-51.58	0.14	-74.07	-156.81	-67.34	-183.95	-6.52	-7.81	-121.7	-71.92	-53.44	-6.16	-170.7	41.98	-77.72	-74.28	-32.45	-26.86	-21.06	-71.63	-156.45	-14.97	-122.56	-19.41	-89.04	-70.34	-30.23	-25.79	-104.01
302.36	206.16	276	275.07	208.74	293.84	133.17	208.88	222.92	328.15	339.47	127.01	74.79	194.13	296.42	473.42	219.63	220.27	247.78	209.38	110.67	157.74	296.28	134.67	161.53	286.6	96.35	211.25	271.2	205.87	187.39	173.35
110.44	69.66	79.41	90.97	99.95	185.92	68.52	154.41	129.01	113.63	113.15	70.91	105.53	111.11	44.9	124.15	153.29	69.79	108.48	75.11	94.18	87.41	131.14	134.11	111.34	96.52	110.12	155.29	98.03	107.39	69.5	122.95
100.81	29.49	30.09	100.14	32.18	146.89	53.64	-29.56	89.67	18.49	136.24	99.12	16.83	64.29	55.09	11.28	55.66	72.31	88.72	65.24	27.4	61.88	109.48	53.47	90.56	62.77	105.76	42.26	60.75	-13.37	68.74	97.17
-20.82	76.93	21.28	82.97	126.16	155.57	189.24	-22.6	121.98	133.36	181.81	-14.63	76.47	-19.04	89.63	-22.37	131.73	-3.95	48.07	125.46	30.26	52.48	119.5	25.39	100.39	29.64	53.17	191.56	-15.63	114.4	89.78	77.71
-31.58	95.41	40.88	13.9	26.67	-67.87	-4.16	-34.99	-64.02	-17.18	48.45	46.84	19.6	-154.22	82.75	19.79	37.1	77.23	-11.1	-54.28	-63.09	-111.79	-12.41	55.09	-107.13	-53.66	-21.9	-2.3	-24.44	61.91	98.76	-17.12
-955.65	-675.81	-736.29	-524.73	-790.86	-497.31	-394.89	-786.02	-212.9	-291.13	-562.63	-448.12	-829.03	-424.19	-1180.11	-696.51	-1008.06	-790.59	-597.04	-457.26	-376.08	-418.82	-337.63	-389.25	-395.97	-472.85	-188.98	-600.81	-556.45	-362.9	-79.57	-37.63
97.28	54.76	127.08	50.79	90.29	99.94	-6.93	89.26	68.13	78.48	119.08	101.68	101.95	116.54	66.12	97.65	114.96	134.71	108.33	87.09	81.29	43.65	103.79	86.69	115.78	125.98	88.86	101.43	89.07	76.86	63.25	99.51
33.13	58.89	10.1	45.05	-2.67	41.11	19.37	-11.77	-7.62	4.51	40.03	26.02	-24.3	-3.6	8.34	9.84	-24.51	47.82	26.82	16.83	40.5	29.34	21.17	12.02	-18.31	-16.91	-8.11	11.62	2.92	3.6	-7.62	-15.5
