"Senecio_inaequidens_E__P_1"	"Senecio_inaequidens_E__P_2"	"Senecio_inaequidens_E__P_3"	"Senecio_inaequidens_E__P_4"	"Origanum_vulgare_E__P_1"	"Origanum_vulgare_E__P_2"	"Origanum_vulgare_E__P_3"	"Origanum_vulgare_E__P_4"	"Reynoutria_japonica_E__P_1"	"Reynoutria_japonica_E__P_2"	"Reynoutria_japonica_E__P_3"	"Reynoutria_japonica_E__P_4"
-218.76	247.46	-61.37	-289.62	-310.15	45.25	377.7	7.51	307.06	152.76	161.15	226.71
-218.76	247.46	-61.37	-289.62	-310.15	45.25	377.7	7.51	307.06	152.76	161.15	226.71
-218.76	247.46	-61.37	-289.62	-310.15	45.25	377.7	7.51	307.06	152.76	161.15	226.71
0.58	43.68	15.07	-19.64	49.2	35.36	28.33	9.34	15.79	13.23	50.53	14.83
427.27	-1463.64	-4309.09	5236.36	2300	27.27	-11772.73	-5400	-13372.73	-36.36	2963.64	3463.64
-214.67	510.67	349.33	170.67	-473.33	-1574.67	-574.67	957.33	748	-453.33	50.67	2641.33
-281.43	151.84	-94	213.54	-27.27	-81.04	-99.23	77.76	6	-39.46	-47.58	124.37
77.48	214.75	358.71	-8.58	-97.86	46.38	34.05	236.46	257.1	262.73	208.58	150.94
-252.48	-141.58	-1178.22	300.99	-551.49	-858.42	-539.6	524.75	458.42	605.94	41.58	779.21
95.58	201.55	270.64	-109.49	187.86	34.66	-60.26	169.98	38.63	135.1	94.04	-80.57
220.44	80.95	23	144.18	70.55	11.5	112.45	30.62	-1.25	58.9	46.45	1.39
70.45	47.52	81.81	-12.35	8.49	19.74	-49.28	84.45	104.19	103.64	138.26	105.51
497.17	434.98	250.88	373.14	-221.55	170.67	198.23	270.67	266.08	320.85	-77.03	-91.52
-14.21	-108.81	-142.14	197.23	49.94	-23.77	-24.03	-34.47	-90.44	-95.09	-166.29	-197.61
-5732.56	1560.47	1613.95	-3609.3	-1234.88	-1518.6	-3718.6	1558.14	-1262.79	-3097.67	-767.44	-1495.35
-373.56	-514.56	157.09	-220.69	-145.98	-319.92	-766.67	-78.93	-263.98	-53.64	-180.08	-575.1
67.65	45.06	13.09	-39.02	-16.82	119.51	238.38	-74.2	187.03	-19	48.01	89.99
-15.98	-113.81	-49.31	82.05	-136.29	-195.07	-107.1	201.58	-85.01	109.66	-84.02	-158.38
113.77	71.58	-1.61	-32.82	9.6	72.45	83.15	42.34	130.04	-57.14	72.23	74.07
-89.51	-36.89	77.69	75.38	-35.29	32.44	189.07	109.69	-38.49	-53.69	-28.98	28.71
84.71	48.6	61.45	67.8	90.51	52.46	109.86	69.92	11.1	66.88	113.04	51.45
443.38	-368.92	57.23	-39.38	212.62	-360.31	68.62	-78.15	39.08	-126.77	-85.54	261.85
225.8	146.75	41.88	116.71	107.69	86.82	85.41	130.35	89.18	32.31	173.65	47.45
58.79	106.02	53.29	82.27	66.57	73.26	18.16	24.99	57.26	7.43	36.09	40.92
46.01	90.37	43.05	55.01	68.47	66.51	38.45	51.17	25.55	46.08	62.53	29.69
40.1	70.73	31.52	53.18	62.73	65.18	30.55	50.04	20.92	29.67	43.19	19.88
40.02	80.93	35.89	59.84	58.14	70.2	28.64	49.56	26.96	36.96	65.24	38.33
38.71	77.27	41.35	56.97	66.91	67.65	38.56	36.25	23.94	40.27	59.84	30.17
37.95	78.37	33.21	51.37	69.8	61.84	26.6	41.48	28.16	35.96	51.07	29.79
40.06	73.08	27.26	42.96	60.24	61.08	38.29	38.58	27.83	39.68	60.2	36.05
32.32	89.64	32.19	59.59	70.55	70.08	32.76	45.06	33.69	40.07	65.79	31.22
37.73	82.47	32.11	48.88	57.15	72.32	38.12	48.42	23.65	31.84	53.96	32.82
36.81	78.07	38.27	56.29	62.64	66.41	37.14	55.89	26.08	36.63	58.79	35.05
35.39	80.77	30.83	54.5	64.54	65.71	32.53	49.32	24.63	41.56	57.4	36.61
44.49	89.75	40.62	53.16	69.53	75.59	40.51	49.75	24.21	31.65	68.22	31.91
37.77	66.4	35.62	48.95	57.26	61.1	25.71	43.97	26.66	38.51	57.09	31.9
51.34	84.76	36.78	59.64	61.7	63.44	38.16	44.45	30.68	37.32	50.63	32.96
37.39	76.89	43.06	54.14	61.11	68.35	32.52	41.82	22.46	37.53	51.92	29.5
45.12	76.78	36.24	51.33	57.02	68.74	37.58	48.68	28.74	36.48	59.2	30.71
40.81	76.51	34.64	52.79	54.58	67.87	28.78	48.6	28.99	33.88	58.15	36.4
46.75	73.92	32.17	45.99	58.84	68.89	35.44	47.36	25.34	34.57	65.31	32.89
32.15	79.17	30.78	46.5	52.92	58.93	29.72	46.79	30.54	28.74	48.01	30.37
39.81	77.04	35.63	49.57	57.68	59.78	36.94	52.07	31.84	44.6	56.17	40.25
37.19	77.87	39.21	48.91	59.9	70.36	38.05	49.68	24	43.36	60.44	33.42
35.66	82.35	39.18	53.74	54.13	62.59	28.54	43.52	18.89	37.1	48.5	27.14
39.84	71.16	36.98	50.7	52.68	60.81	31.05	43.48	29.34	42.09	52.1	35.71
40.84	77.36	31.2	57.3	57.94	68.72	26.2	46.83	28.58	36.64	50.11	33.98
31.6	75.68	39.06	50.89	62.13	63	30.23	45.83	26.71	37.1	55.67	28.99
36.8	78.61	32.22	55.44	59.2	71.24	23.11	47.73	19.41	37.02	48.85	30.63
34.49	76.95	39.91	53.24	58.4	66.05	30.83	44.97	35.14	32.03	60.82	35.05
41.24	79.15	26.42	40.75	60.77	71.4	26.89	46.16	20.71	37.55	49.04	27.95
36.35	68.75	27.33	43.99	58.34	61.66	30.98	42.18	20.2	29.91	49.4	24.9
44.67	84.33	31.48	47.96	60.19	64.11	36.23	51.61	30.56	38.45	55.46	37.56
43.65	85.04	31.78	58.15	63.64	65.7	25.11	49.48	27.62	37.88	51.38	29.22
35.17	70.66	28.69	47.74	66.01	65.96	34.86	46.39	24.97	36.25	49.49	34.22
