"Agrimonia_eupatoria_G__P_1"	"Agrimonia_eupatoria_G__P_2"	"Trifolium_repens_G__P_1"	"Trifolium_repens_G__P_2"	"Trifolium_repens_G__P_3"	"Trifolium_pratense_G__P_1"	"Trifolium_pratense_G__P_2"	"Trifolium_pratense_G__P_3"
-648.84	-738.37	-423.64	-193.41	56.98	-810.08	127.52	-943.8
-648.84	-738.37	-423.64	-193.41	56.98	-810.08	127.52	-943.8
-648.84	-738.37	-423.64	-193.41	56.98	-810.08	127.52	-943.8
-29.98	-69.32	171.73	51.21	3.52	161.57	247.18	197.69
66.6	98.09	-2.11	162.27	238.53	-29.98	-116.6	38.33
190.38	-55.83	-17.93	35.42	-135.71	-26.53	140.96	-60.2
-75.1	-103.11	-123.86	6.02	-411	-108.3	-502.7	2.7
29.16	42.57	2.7	60.79	39.91	48.55	30.92	21.38
-243.54	160.53	507.89	-360.53	31.34	-6.22	-338.52	125.6
-30.47	-23.01	-83.95	-21.57	-56.95	-17.38	-252.66	-59.2
268.56	317.98	237.92	148.11	102.26	290.68	38.94	192.36
101.83	184.86	71.47	167.06	185.23	51.93	200.46	152.39
122.65	47.97	72.56	98.21	103.15	37.46	202.57	85.04
-36.61	-471.86	-55.46	-410.11	34.15	138.25	-312.84	-7.92
-49.06	65.24	172.55	227.45	206.78	106.26	90.92	73.8
-250.65	-297.62	146.54	-124.03	210.61	-70.56	-306.71	146.1
329.2	-450	284.31	746.35	316.42	1094.16	-72.63	197.45
-85.85	-71.86	65.11	-56.11	61.25	-3.54	-196.95	103.38
179.79	360.36	425.65	210.62	270.21	478.24	151.55	293.52
79.42	35.15	85.27	18.74	106.95	95.13	39.32	65.24
176.11	152.97	150.66	157.08	117.05	136.57	170.59	159.72
290.36	-93.37	178.92	269.28	627.11	-50.2	17.87	320.68
-1.3	4.42	1.33	76.1	12.46	48.18	22.54	54.33
20.16	-87.88	44.48	-40.06	-0.38	40.62	49.54	15.72
31.16	24.97	33.51	11.49	48.72	41.33	46.34	34.41
37.76	0.93	23.28	12.25	47.67	42.54	41.25	30.13
44.66	5.1	35.83	13.95	42.45	31.84	31.96	39.08
34.05	18.02	39.98	28.3	57.84	42.42	50.8	26.69
46.33	31.23	40.82	22.72	50.1	41.8	39.42	33.71
40.87	30.36	46.6	27.83	57.95	43.96	56.87	37.64
27.17	10.76	28.37	21.2	56.82	35.73	46.83	39.05
