"Impatiens_glandulifera_H__Pr_1"	"Impatiens_glandulifera_H__Pr_2"	"Impatiens_glandulifera_H__Pr_3"	"Impatiens_glandulifera_H__Pr_4"	"Impatiens_glandulifera_H__Pr_5"	"Impatiens_glandulifera_H__Pr_6"	"Impatiens_glandulifera_H__Pr_7"	"Impatiens_glandulifera_H__Pr_8"	"Melilotus_albus_H__P_1"	"Melilotus_albus_H__P_2"	"Melilotus_albus_H__P_3"	"Melilotus_albus_H__P_4"	"Sambucus_ebulus_H__P_1"	"Sambucus_ebulus_H__P_2"	"Sambucus_ebulus_H__P_3"	"Sambucus_ebulus_H__P_4"	"Erigeron_karvinskianus_H__P_1"	"Erigeron_karvinskianus_H__P_2"	"Erigeron_karvinskianus_H__P_3"	"Erigeron_karvinskianus_H__P_4"	"Erigeron_karvinskianus_H__P_5"	"Erigeron_karvinskianus_H__P_6"	"Erigeron_karvinskianus_H__P_7"	"Erigeron_karvinskianus_H__P_8"	"Hypericum_perforatum_H__P_1"	"Hypericum_perforatum_H__P_2"	"Hypericum_perforatum_H__P_3"	"Daucus_carota_H__P_1"	"Daucus_carota_H__P_2"	"Daucus_carota_H__P_3"	"Daucus_carota_H__P_4"	"Daucus_carota_H__P_5"	"Daucus_carota_H__P_6"	"Reynoutria_japonica_H__P_1"	"Reynoutria_japonica_H__P_2"	"Reynoutria_japonica_H__P_3"	"Reynoutria_japonica_H__P_4"	"Reynoutria_japonica_H__P_5"	"Verbascum_thapsus_H__P_1"	"Verbascum_thapsus_H__P_2"
51.55	-189.92	-206.59	-497.29	-304.65	-72.87	-194.19	646.9	499.61	972.87	-224.81	80.23	-706.59	-99.61	-165.12	-1152.71	-197.67	-316.28	34.11	647.67	-439.53	-84.5	-215.12	-17.83	-118.6	-192.25	408.14	382.95	-497.67	-430.62	-739.92	720.16	-643.8	453.49	117.44	-763.18	-376.74	-95.74	36.05	-354.26
51.55	-189.92	-206.59	-497.29	-304.65	-72.87	-194.19	646.9	499.61	972.87	-224.81	80.23	-706.59	-99.61	-165.12	-1152.71	-197.67	-316.28	34.11	647.67	-439.53	-84.5	-215.12	-17.83	-118.6	-192.25	408.14	382.95	-497.67	-430.62	-739.92	720.16	-643.8	453.49	117.44	-763.18	-376.74	-95.74	36.05	-354.26
51.55	-189.92	-206.59	-497.29	-304.65	-72.87	-194.19	646.9	499.61	972.87	-224.81	80.23	-706.59	-99.61	-165.12	-1152.71	-197.67	-316.28	34.11	647.67	-439.53	-84.5	-215.12	-17.83	-118.6	-192.25	408.14	382.95	-497.67	-430.62	-739.92	720.16	-643.8	453.49	117.44	-763.18	-376.74	-95.74	36.05	-354.26
130.89	224.35	71.93	35.11	30.38	212.88	269.92	288.63	63.68	52.92	133.2	36.92	-46.58	30.48	-7.44	-57.75	132.19	249.5	-18.51	127.87	120.93	214.69	-60.66	-155.94	176.86	120.72	237.93	146.08	97.79	-23.24	121.83	100	-52.82	90.34	213.98	283.2	306.24	123.24	147.79	136.62
201.71	89.13	-32.7	96.28	-206.24	219.32	-2.11	233.9	-63.48	77.06	274.85	36.92	104.73	-64.49	-54.12	-52.92	-106.04	24.14	78.07	-103.92	79.07	169.62	26.26	-149.5	-82.29	169.01	81.79	197.59	157.34	-139.13	-31.09	67.81	-171.93	6.64	48.19	4.73	-6.04	15.39	-24.45	48.09
171.87	6.12	224.64	-46.21	231.2	111.37	208.31	29.59	45.34	46.94	219.83	58.45	233.09	-149.13	125.07	-88.92	97.67	268.22	-24.49	-257.58	55.69	1.46	111.22	27.7	63.27	-116.62	191.69	40.23	-190.67	187.61	31.05	46.36	340.09	181.63	121.43	7.14	-7.58	325.22	93.73	317.49
336.31	203.73	347.51	-495.23	-285.89	269.71	-226.76	107.26	-154.15	-7.05	-40.66	268.67	-212.24	-79.88	104.15	-89.21	76.76	-225.73	-14.94	-38.38	216.18	711.62	-125.1	126.56	105.81	-298.76	32.57	52.28	-196.68	-326.76	-210.17	0.41	-484.02	-241.91	-272.41	-20.12	-2.49	187.76	304.77	-100
39.21	53.56	-17.94	117.71	34.48	47.38	-0.43	6.06	-28.5	-8.68	-1.72	-19.35	118.18	32.56	117.36	79.98	110.01	73.81	45.97	79.79	-31.35	22.28	36.08	39.95	62.63	115.09	38.9	10.79	-29.24	55.94	32.1	51.84	61.18	83.11	58.84	94.49	44.88	-25.37	42.65	-35.57
77.75	-117.22	29.43	-54.31	-429.19	-52.63	94.5	8.85	-85.89	-226.32	18.18	18.9	180.14	-84.45	89.47	-160.29	-378.47	26.79	-346.41	189.23	-141.15	472.25	261.48	149.76	-302.87	-187.56	244.26	-288.04	-12.44	319.86	67.7	130.62	544.26	566.99	-23.21	206.46	-2.87	-449.52	-329.9	160.29
157.57	41.51	25.66	-8.49	19.43	-357.87	-69.22	-82.92	14.01	-80.37	15.95	24.44	-170.04	58.79	195.3	59.1	-45.6	-4.91	82.62	-5.83	-65.24	-94.27	69.22	-47.24	-82	-155.42	38.96	4.5	-33.13	-156.13	-188.65	-71.78	-12.78	34.56	-93.35	-140.8	-253.17	-57.98	106.03	4.7
126.56	65.94	94.69	152.77	134.06	47.45	216.96	213.9	122.78	128.24	247.16	154.95	141.99	82.75	201.02	166.38	59.24	266.67	256.77	128.75	236.24	198.69	326.86	231.59	75.84	80.35	167.9	144.69	212.23	255.53	-47.38	110.48	71.98	67.39	163.1	122.34	219.8	266.01	263.39	-5.68
147.25	48.99	-63.58	199.36	200.92	268.99	34.77	254.4	55.14	-92.66	67.16	262.66	183.58	137.89	320.55	-26.24	54.5	289.17	171.01	-21.38	151.38	-96.33	173.67	191.01	152.48	110.09	67.25	134.68	55.41	256.24	42.11	136.7	92.75	3.12	245.05	136.42	122.2	34.59	45.23	-111.74
70.72	57.6	43.13	111.37	29.33	117.13	19.89	61.42	-32.09	116.07	122.94	58.03	202.18	126.19	114.13	37.27	70.57	110.75	127.4	105.66	127.88	130.4	22.7	129.43	73.48	98.35	119.12	60.21	107.45	166.94	103.53	29.53	179.82	114.71	136.25	47.19	114.04	146.03	79.62	98.26
208.47	-233.33	-654.37	-121.58	-336.07	-202.19	-658.74	269.67	-544.54	-30.05	193.44	-148.36	-109.56	43.99	24.59	156.83	100	-21.86	439.34	-294.81	266.12	146.99	-119.4	-157.92	-440.98	-546.45	101.37	-239.34	136.61	609.56	-160.38	156.83	-27.05	309.84	61.48	-270.77	-263.39	-107.38	-134.7	-47.54
116.39	233.19	3.86	67.12	-21.5	109.81	152.51	104.7	-7.62	48.64	187.47	269	-36.85	53.55	188.1	51.57	-62	320.67	29.23	181.32	160.13	54.49	77.97	116.7	-19.83	76.83	133.92	269.31	120.67	119.31	102.4	201.88	54.8	238.62	263.99	80.27	370.35	234.55	75.47	58.66
-350.87	-29	101.52	-456.49	-30.74	-108.23	122.29	-77.27	-206.28	114.72	215.58	149.13	-111.04	183.77	119.91	241.99	394.37	-141.99	264.94	-77.71	117.32	265.37	-399.35	-263.64	14.29	-235.5	329.65	271	177.49	133.12	56.49	-270.56	418.4	96.54	221.86	-155.63	33.77	-154.33	-241.77	194.37
-243.43	-67.88	-463.14	144.89	314.6	223.36	336.86	-4.01	-25.91	571.53	821.9	320.8	204.74	-841.24	457.66	1174.45	444.53	712.41	697.81	615.69	905.84	381.75	398.91	-98.54	174.45	163.5	991.61	383.94	138.69	1182.85	523.72	806.57	736.86	695.62	285.77	904.74	754.74	266.06	-415.69	810.95
150.96	86.5	77.97	139.39	144.37	336.33	-48.07	30.06	145.18	306.43	311.9	36.17	-28.46	298.55	55.63	-172.67	195.18	-218.65	124.76	47.75	190.03	300	-219.45	187.46	-30.55	-33.44	113.67	-35.37	23.79	-40.03	198.87	251.77	102.41	-134.08	103.05	159.65	-52.09	80.87	-104.98	20.9
536.01	602.59	-113.21	455.18	285.49	245.6	338.6	942.23	309.07	803.63	226.94	61.92	423.06	410.1	225.39	174.61	1082.38	223.83	134.72	-425.13	158.03	183.94	1.3	261.66	281.35	240.41	61.4	-34.2	533.68	553.63	197.67	427.46	-119.43	386.01	522.02	269.17	593.78	756.74	148.45	-50.26
75.61	41.08	45.05	17.48	62.77	84.37	151.89	31.62	10.41	33.23	130.56	14.41	45.29	65.95	107.7	89.95	20.19	79.18	72.58	12.84	81.78	5.26	13.39	57.89	15.63	62.84	-2	87.82	99.14	75.77	-10.25	113.83	101.92	-21.29	147.64	23.84	77.45	124.78	57.7	55.22
