"Campanula_persicifolia_I__P_1"	"Campanula_persicifolia_I__P_2"	"Convolvulus_sepium_I__Pr_1"	"Convolvulus_sepium_I__P_2"	"Convolvulus_sepium_I__Pr_3"	"Convolvulus_sepium_I__P_4"	"Helminthia_echioides_I__P_1"	"Helminthia_echioides_I__P_2"	"Mentha_suaveolens_I__P_1"	"Mentha_suaveolens_I__P_2"	"Mentha_suaveolens_I__P_3"	"Mentha_suaveolens_I__P_4"	"Filipendula_ulmaria_I__P_1"	"Filipendula_ulmaria_I__P_2"	"Filipendula_ulmaria_I__P_3"	"Filipendula_ulmaria_I__P_4"	"Spiraea_japonica_I__P_1"	"Spiraea_japonica_I__P_2"	"Spiraea_japonica_I__P_3"	"Spiraea_japonica_I__P_4"	"Anthriscus_sylvestris_I__P_1"	"Anthriscus_sylvestris_I__P_2"	"Anthriscus_sylvestris_I__P_3"	"Anthriscus_sylvestris_I__P_4"	"Anthriscus_sylvestris_I__P_5"	"Impatiens_glandulifera_I__Lr_1"	"Impatiens_glandulifera_I__Er_2"	"Impatiens_glandulifera_I__Lr_3"	"Impatiens_glandulifera_I__Er_4"	"Impatiens_glandulifera_I__Lb_5"	"Impatiens_glandulifera_I__Eb_6"	"Eupatorium_cannabinum_I__P_1"	"Eupatorium_cannabinum_I__P_2"	"Geranium_robertianum_I__P_1"	"Geranium_robertianum_I__P_2"	"Geranium_robertianum_I__P_3"	"Geranium_robertianum_I__P_4"	"Hypericum_perforatum_I__P_1"	"Hypericum_perforatum_I__P_2"	"Lotus_corniculatus_I__P_1"	"Lotus_corniculatus_I__P_2"	"Lotus_corniculatus_I__P_3"	"Reynoutria_japonica_I__P_1"	"Reynoutria_japonica_I__P_2"	"Buddleja_davidii_I__P_1"	"Buddleja_davidii_I__P_2"
22.12	59.11	-7.61	73.34	80.46	19.47	-63.29	-70.34	92.74	-83.81	15.49	-39.64	-171.46	-48.29	103	54.92	49.2	172.3	44.59	29.59	67.48	86.11	-118.7	29.03	58.06	-55.34	15	12.63	6	-65.88	64.2	27.36	82.9	-87.79	76.2	68.53	35.17	17.86	-19.75	96.16	-150.17	104.19	76.62	34.05	189.95	-8.03
22.12	59.11	-7.61	73.34	80.46	19.47	-63.29	-70.34	92.74	-83.81	15.49	-39.64	-171.46	-48.29	103	54.92	49.2	172.3	44.59	29.59	67.48	86.11	-118.7	29.03	58.06	-55.34	15	12.63	6	-65.88	64.2	27.36	82.9	-87.79	76.2	68.53	35.17	17.86	-19.75	96.16	-150.17	104.19	76.62	34.05	189.95	-8.03
22.12	59.11	-7.61	73.34	80.46	19.47	-63.29	-70.34	92.74	-83.81	15.49	-39.64	-171.46	-48.29	103	54.92	49.2	172.3	44.59	29.59	67.48	86.11	-118.7	29.03	58.06	-55.34	15	12.63	6	-65.88	64.2	27.36	82.9	-87.79	76.2	68.53	35.17	17.86	-19.75	96.16	-150.17	104.19	76.62	34.05	189.95	-8.03
2420	6652	6860	-2772	-4412	8540	980	-3520	6532	1532	3064	3104	3548	10864	3728	204	-2428	1364	2876	2976	6172	4552	1772	17152	-384	7196	3868	852	6424	320	6432	11296	80	8216	3600	-2664	-3232	12032	916	8392	4320	4436	3240	12768	15304	4020
-104.11	227.48	71.21	195.33	789.35	291.78	671.96	104.67	257.01	350.09	-104.3	387.29	501.12	90.47	11.21	83.18	262.99	-24.86	-340.75	73.27	25.61	397.38	243.18	322.99	-179.44	698.5	196.07	459.63	274.02	110.65	46.36	210.84	235.51	504.3	325.23	100.56	91.21	322.99	37.94	-54.21	94.21	211.4	60.93	136.07	17.57	168.04
289.61	-92.04	-26.19	-147.29	-128.95	154.59	71.27	-14.14	56.69	-123.87	22.76	119.34	46.74	95.03	120.66	39.23	148.62	-64.86	-26.63	89.28	-107.07	-109.39	-12.93	-68.95	91.93	7.85	-260.88	292.27	-119.56	-86.63	62.76	36.24	138.34	248.18	118.9	-31.16	78.67	106.08	42.98	221.22	7.96	23.54	-69.61	39.78	92.15	-235.47
-195.55	-199.86	-125.82	77.33	-376.33	-363.99	-295.41	-227.26	314.63	-57.53	-7.17	74.61	-182.64	203.73	-17.79	0.43	-50.36	78.77	-73.6	109.04	58.39	92.11	58.97	282.35	-208.9	42.32	-184.94	-31.42	65.14	94.12	-58.54	214.63	16.64	51.36	14.35	464.56	136.59	289.24	5.31	229.84	265.14	14.49	191.97	125.11	170.16	231.42
-43.98	82.74	135.11	25.66	13.09	-28.6	-29.42	29.13	38.46	45.16	82.8	81.27	8.04	116.74	89.96	61.83	74.16	120.9	-14.97	119.79	-8.87	104.17	92.37	141.87	93.01	78.51	6.17	-4.99	53.2	17.85	23.02	69.05	-5.87	-79.27	61.77	55.08	130.12	93.95	77.69	-9.51	59.66	-128.07	20.08	-65.3	-85.61	29.3
-169.64	-384.05	-261.23	-284.56	-156.6	-39.62	54.03	-35.68	2.57	-2.57	-164.32	6.86	-253.69	-21.27	54.2	57.12	-49.57	-258.83	41.34	-26.07	-242.71	-77.19	-155.57	-386.96	131.73	-127.44	-539.11	-176.5	56.6	0	127.62	182.5	-475.47	-489.54	-25.39	-138.25	-53.52	-156.43	180.27	-425.73	-160.55	-442.71	-377.7	168.78	167.07	-466.04
94.37	1759.15	-1559.15	-1660.56	-1984.51	260.56	601.41	2005.63	-2570.42	1961.97	-42.25	822.54	-866.2	681.69	197.18	-1581.69	-632.39	-1021.13	-88.73	1002.82	2243.66	1597.18	-759.15	-1149.3	225.35	1545.07	-1023.94	1367.61	-2419.72	-2005.63	-1318.31	461.97	-614.08	1298.59	715.49	-53.52	754.93	1577.46	-1516.9	-205.63	-597.18	-322.54	1157.75	-2354.93	-1985.92	-176.06
