"Lamium_maculatum_J__La_1"	"Lamium_maculatum_J__La_2"
233.85	169.36
233.85	169.36
233.85	169.36
7388	10220
136.26	-64.86
103.31	-117.24
368.29	84.22
-58.66	167.53
-385.42	-215.95
-2195.77	-1547.89
77.78	8.2
80.1	36.38
916.91	-63.85
-2.81	82.23
101.7	95.36
97.41	120.53
445.19	-316.3
378.18	-22.65
138.81	320.21
82.92	-64.27
334.39	336.2
97.11	-105.1
-23.87	-164.91
87.6	78.24
89.28	69.5
85.93	70.79
85.83	72.76
86.35	74.1
85.03	70.94
88.54	69.27
84.98	69.91
83.78	67.18
80.58	63.42
86.02	70.97
83.67	65.76
85.89	70.48
83.84	67.43
80.97	69.09
80.32	67.05
80.18	66.12
78.55	66.95
81.49	66.94
79.83	64.23
84.46	66.11
84.24	63.91
80.17	70.45
77.56	63.99
82.07	71.28
77.51	61.48
79.77	62.41
79.8	64.06
77.38	63.86
76.48	62.64
86.18	65.4
82.61	65.12
73.65	62.01
76.82	62.49
77.12	65.71
79.56	64.08
75.28	55.18
82.87	61.21
81.1	61.97
76.59	62.11
75.75	60.52
78.09	63.04
77.42	62.35
74.96	61.98
75.24	63.63
78.13	58.87
76.91	64.47
77.88	59.18
78.34	61.56
77.29	60.28
75.82	59.04
76.02	60.65
75.95	63.94
77.33	57.94
73.36	57.32
74.99	59.44
77.55	60.34
80.27	64.27
75.92	62.04
73.28	60.06
72.5	59.11
74.43	61.03
75.09	59.71
68.86	53.78
75.88	60.08
73.06	57.82
73.33	56.93
74.53	56.69
73.59	59.6
68.45	57.31
72.79	58.77
73.73	56.4
74.12	58.31
71.9	59.44
72.6	59.84
72.59	54.75
73.61	58.27
70.02	56.53
74.73	58.19
68.12	52.97
71.38	53.57
68	54.2
67.38	49.24
69.63	53.39
68.37	52.56
68.6	53.1
63.18	52.24
64.56	47.83
65.83	49.94
62.74	50.59
62.46	49.71
57.26	47.46
58.79	44.77
57.4	44.01
55.45	45.04
55.52	44.26
51.18	40.23
51.27	38.75
47.82	36.45
44.64	33.97
42.15	30.74
36.55	29
36.18	25.85
31.73	22.78
26.7	18.85
21.5	14.46
16.68	9.8
13.83	8.13
12.06	6.81
11.51	6.83
11.49	6.96
13.66	8.04
16.14	9.97
14.98	9.55
15.48	10.03
15.21	9.74
16.73	10.66
18.43	11.78
18.84	11.7
16.71	10.1
16.15	9.65
13.77	7.82
13.18	7.37
12.79	7.23
13.26	7.45
13.46	7.53
13.78	7.96
13.08	7.27
13.27	7.39
13.68	7.95
12.87	7.09
13.46	7.75
