"Centaurea_nigra_K__P_1"	"Centaurea_nigra_K__P_2"	"Centaurea_nigra_K__P_3"	"Centaurea_nigra_K__P_4"	"Hypochaeris_radicata_K__P_1"	"Hypochaeris_radicata_K__P_2"	"Hypochaeris_radicata_K__P_3"	"Hypochaeris_radicata_K__P_4"	"Scabiosa_columbaria_K__P_1"	"Scabiosa_columbaria_K__P_2"	"Oenothera_erythrosepala_K__P_1"	"Oenothera_erythrosepala_K__P_2"	"Oenothera_erythrosepala_K__P_3"	"Origanum_vulgare_K__P_1"	"Origanum_vulgare_K__P_2"	"Hypericum_maculatum_K__P_1"	"Buddleja_davidii_K__P_1"	"Buddleja_davidii_K__P_2"	"Buddleja_davidii_K__P_3"	"Buddleja_davidii_K__P_4"	"Geranium_robertianum_K__P_1"	"Daucus_carota_K__P_1"	"Daucus_carota_K__P_2"	"Daucus_carota_K__P_3"	"Aegopodium_podagraria_K__P_1"	"Aegopodium_podagraria_K__P_2"
280.98	152.68	182.11	685.69	214.31	117.56	-100.98	11.87	278.37	319.02	128.29	296.91	-202.44	32.85	-151.87	277.4	-97.07	296.26	302.44	152.03	413.5	4.07	206.02	-55.12	173.5	286.02
280.98	152.68	182.11	685.69	214.31	117.56	-100.98	11.87	278.37	319.02	128.29	296.91	-202.44	32.85	-151.87	277.4	-97.07	296.26	302.44	152.03	413.5	4.07	206.02	-55.12	173.5	286.02
280.98	152.68	182.11	685.69	214.31	117.56	-100.98	11.87	278.37	319.02	128.29	296.91	-202.44	32.85	-151.87	277.4	-97.07	296.26	302.44	152.03	413.5	4.07	206.02	-55.12	173.5	286.02
-335.1	-311.01	88.1	-222.71	-275.91	-255.16	23.3	-216.42	-182.5	-100.1	-79.15	-17.5	92.53	-141	-136.28	-136.28	-406.98	-124.09	-181.32	4.03	-382.2	-37.07	-63.23	-227.83	-255.95	-144.64
46.61	31.96	28.58	23.11	138.22	73.51	9.32	64.44	76.06	33.69	24.32	19.84	33.5	1.15	25.34	72.38	-0.58	7.86	15.94	28.33	-0.91	89.06	44.49	4.31	21.85	36.47
0	-500.81	-272.06	-35.22	-204.86	-640.08	-121.86	-896.76	-589.47	-436.44	-982.59	-750.61	-290.28	-119.03	-676.11	-449.39	17.41	-784.62	189.47	80.57	-311.34	81.38	214.98	-27.13	-332.39	-324.29
60.65	98.32	62.89	128.36	38.65	47.03	13.34	187.51	53.91	27.23	-38.42	96.49	35.05	81.14	44.45	-49.13	-1.26	89.19	65.7	67.81	48.71	52.74	47.78	79.5	-36.45	-15.68
626.33	258.01	-119.57	406.76	37.72	687.9	539.86	104.98	985.05	-32.03	83.63	238.43	995.37	941.64	-305.34	896.09	1265.84	649.82	-701.78	561.21	279.36	-105.69	124.2	-152.67	576.87	-284.34
-104.59	-188.67	-24.46	23.99	-217.92	46.23	63.94	-24.09	-1.69	-48.6	79.86	-128.31	-72.69	-135.48	-32.58	-18.24	-101.79	-52.19	-13.71	-110.02	-137.43	-111.81	-78.6	-2.37	-57.09	-84.29
232.52	236.4	204.89	-10.22	-111.94	304.32	87.91	245.32	234.82	77.41	288.49	288.06	647.34	88.92	293.81	128.06	395.25	460.14	350.5	162.16	62.01	157.84	278.99	-9.64	264.03	29.78
80.08	28.61	88.37	64.63	85.3	62.27	70.89	88.87	81.36	34.66	50.19	82.03	37.71	59.54	77.41	53.16	82.85	92.16	70.91	94.9	87.72	67.5	80.78	68.22	69.77	42.09
