"Clinopodium_vulgare_L__P_1"	"Clinopodium_vulgare_L__P_2"	"Clinopodium_vulgare_L__P_3"	"Clinopodium_vulgare_L__P_4"	"Hypericum_perforatum_L__P_1"	"Hypericum_perforatum_L__P_2"	"Hypericum_perforatum_L__P_3"	"Hypericum_perforatum_L__P_4"	"Galium_verum_L__P_1"	"Galium_verum_L__P_2"	"Trifolium_pratense_L__P_1"	"Trifolium_pratense_L__P_2"	"Trifolium_pratense_L__P_3"	"Leucanthemum_vulgare_L__P_1"	"Leucanthemum_vulgare_L__P_2"	"Leucanthemum_vulgare_L__P_3"	"Leucanthemum_vulgare_L__P_4"	"Leucanthemum_vulgare_L__P_5"	"Achillea_millefolium_L__P_1"	"Achillea_millefolium_L__P_2"	"Achillea_millefolium_L__P_3"	"Ranunculus_repens_L__P_1"	"Jasione_montana_L__P_1"	"Jasione_montana_L__P_2"	"Eupatorium_cannabinum_L__P_1"	"Eupatorium_cannabinum_L__P_2"	"Erica_tetralix_L__P_1"	"Erica_tetralix_L__P_2"	"Ulex_europaeus_L__P_1"	"Ulex_europaeus_L__P_2"	"Achillea_millefolium_L__P_4"	"Achillea_millefolium_L__P_5"	"Reynoutria_japonica_L__P_1"	"Reynoutria_japonica_L__P_2"	"Reynoutria_japonica_L__P_3"	"Reynoutria_japonica_L__P_4"	"Reynoutria_japonica_L__P_5"	"Reynoutria_japonica_L__P_6"	"Reynoutria_japonica_L__P_7"	"Reynoutria_japonica_L__P_8"	"Reynoutria_japonica_L__P_9"	"Reynoutria_japonica_L__P_10"	"Reynoutria_japonica_L__P_11"	"Thymus_praecox_L__P_1"	"Thymus_praecox_L__P_2"	"Trifolium_pratense_L__P_4"	"Trifolium_pratense_L__P_5"	"Centaurea_nigra_L__P_1"	"Centaurea_nigra_L__P_2"	"Centaurea_nigra_L__P_3"	"Centaurea_nigra_L__P_4"	"Rhinanthus_angustifolius_L__P_1"	"Rhinanthus_angustifolius_L__P_2"	"Prunella_vulgaris_L__P_1"
157.6	103.23	213.34	184.11	136.19	203.48	44.86	-1.02	254.72	89.8	15.8	64.57	-28.04	26.25	4.5	161.6	193.12	119.37	236.62	128.46	-5.78	192.78	176.64	114.02	41.63	90.99	201.02	139.85	33.14	12.06	-120.73	7.73	119.12	106.03	61.26	29.99	217.5	273.92	37.98	87.77	133.56	12.66	114.19	5.1	55.9	135	119.88	45.45	61.85	120.65	101.1	19.8	15.46	126.85
157.6	103.23	213.34	184.11	136.19	203.48	44.86	-1.02	254.72	89.8	15.8	64.57	-28.04	26.25	4.5	161.6	193.12	119.37	236.62	128.46	-5.78	192.78	176.64	114.02	41.63	90.99	201.02	139.85	33.14	12.06	-120.73	7.73	119.12	106.03	61.26	29.99	217.5	273.92	37.98	87.77	133.56	12.66	114.19	5.1	55.9	135	119.88	45.45	61.85	120.65	101.1	19.8	15.46	126.85
157.6	103.23	213.34	184.11	136.19	203.48	44.86	-1.02	254.72	89.8	15.8	64.57	-28.04	26.25	4.5	161.6	193.12	119.37	236.62	128.46	-5.78	192.78	176.64	114.02	41.63	90.99	201.02	139.85	33.14	12.06	-120.73	7.73	119.12	106.03	61.26	29.99	217.5	273.92	37.98	87.77	133.56	12.66	114.19	5.1	55.9	135	119.88	45.45	61.85	120.65	101.1	19.8	15.46	126.85
15.85	7.89	142.14	-30.39	101.62	56.37	106.4	12.18	-29.46	91.55	-92.85	-6.46	-25.48	-37.48	6.28	-14.05	2.05	10.75	142.26	32.32	21.63	122.13	25.79	12.8	13.55	-18.96	58.55	92.36	33.19	106.28	96.64	78.25	112	-12.93	111.44	6.03	-37.79	73.09	99.38	118.89	113.61	85.83	-23.87	94.22	18.02	-139.9	96.64	-60.22	105.9	117.09	163.46	-16.35	164.45	31.14
445.27	-199.5	-430.35	162.69	-94.03	-1395.52	-700.5	-961.19	-641.79	-222.39	-257.71	-242.79	-673.63	10.45	-1724.88	-804.98	-102.99	149.75	-1082.09	-19.9	539.3	54.23	-525.87	-247.76	880.6	-517.91	389.05	-828.86	-840.8	-669.65	-706.97	-1005.47	-886.57	214.93	-79.1	-15.42	-302.49	505.47	87.06	-449.25	-817.91	-1430.35	47.76	-933.33	-524.38	-626.37	-1757.71	-442.29	107.46	356.22	186.07	291.04	-641.79	-300
105.11	118.38	220.11	228.4	53.97	89.91	258.74	131.31	190.88	201.17	50.17	179.68	36.07	240.7	124.6	223.5	155.84	253.42	278.58	298	147.34	97.51	152.66	141.67	207.19	217.9	184.8	120.66	19.49	205.81	152.38	-23.98	176.23	189.08	261.99	128.2	122.74	103.39	191.36	342.16	269.52	138.98	205.67	193.78	138.08	178.78	173.39	163.17	111.13	87.63	-46.86	137.6	29.44	133.45
-55.49	-96.39	-72.33	-184.21	-155.94	-202.86	-98.65	31.88	157.29	-481.05	-99.55	-119.1	99.55	-112.33	-35.34	-267.37	55.49	-50.98	-11.88	-131.13	-128.12	-147.22	-154.14	40.6	-80.3	-252.78	-72.48	-29.17	-25.56	-103.76	-83.76	-15.19	261.35	-21.65	-69.62	-211.58	-57.74	131.13	4.66	-78.05	154.59	-196.54	-72.18	182.26	-45.41	-28.12	-247.37	49.17	188.87	-72.78	61.05	-424.51	-321.5	-40.15
128.11	757.83	237.35	356.22	-140.16	-573.9	-122.09	-36.95	-473.09	283.13	4.02	-279.52	-261.04	483.94	117.67	-45.78	32.53	352.21	193.17	48.19	165.46	69.48	18.88	-238.55	685.14	76.71	571.08	583.94	754.22	204.82	463.86	132.93	61.85	719.68	-76.71	90.36	-115.66	504.42	879.92	100	412.85	355.42	372.69	191.16	508.43	316.87	797.99	-55.02	-478.71	-245.78	368.67	851.81	278.71	-434.94
49.68	-92.77	280.9	-54.58	90.45	167.87	-43.35	100.65	-149.42	-49.68	-121.03	-40.26	129.29	-0.65	-29.55	31.23	173.29	-80.13	-62.06	79.48	35.61	-166.84	-185.68	-69.94	137.03	-154.71	-228.9	-45.16	201.55	-30.71	-33.42	-119.1	159.74	-35.1	103.1	65.94	148.65	56.77	173.55	-48.65	94.45	94.32	-154.84	-158.45	98.84	48.9	144.13	263.35	7.23	-125.42	57.03	81.42	344	-21.29
262.43	309.99	211.06	158.74	124.02	260.05	133.17	224.97	-20.21	72.41	75.39	-84.66	314.63	82.4	82.4	190.01	-75.98	28.18	30.56	101.78	119.38	75.74	271.94	-40.19	191.44	249.11	49.23	-55.41	177.65	190.01	312.37	290.49	208.56	0	220.81	68.61	350.06	59.93	127.35	345.42	36.62	38.64	283.47	463.73	122	70.99	146.85	154.93	-37.1	328.66	227.11	210.34	103.45	228.89
