"Saponaria_officinalis_A2__P_1"	"Saponaria_officinalis_A2__P_2"	"Saponaria_officinalis_A2__P_3"	"Saponaria_officinalis_A2__P_4"	"Saponaria_officinalis_A2__P_5"	"Saponaria_officinalis_A2__P_6"	"Saponaria_officinalis_A2__P_7"	"Saponaria_officinalis_A2__P_8"	"Helminthia_echioides_A2__P_1"	"Helminthia_echioides_A2__P_2"	"Helminthia_echioides_A2__P_3"	"Helminthia_echioides_A2__P_4"
-73.99	-130.37	5.15	-101.23	3.74	-9.08	-25.95	-90.25	25.89	-96.99	4.91	-50.92
-73.99	-130.37	5.15	-101.23	3.74	-9.08	-25.95	-90.25	25.89	-96.99	4.91	-50.92
-73.99	-130.37	5.15	-101.23	3.74	-9.08	-25.95	-90.25	25.89	-96.99	4.91	-50.92
591.15	584.43	631.48	703.28	404.43	391.48	738.2	482.46	460.66	371.97	608.52	757.7
154.21	163.82	141	104.94	145.68	175.91	136.87	139.65	66.95	136.02	130.97	102.63
-20	-1110	-2440	-3100	-5503.33	-173.33	1363.33	1336.67	2526.67	-7883.33	-53.33	2620
780	843.68	827.37	824.21	368.95	1437.89	442.63	1196.32	777.89	1365.79	151.58	506.32
-194.22	-164.22	-249.78	28.89	-205.56	-95.11	15.78	-409.11	208.44	-171.33	-96	-21.78
-104.42	-62.64	-64.54	-55.09	-7.06	-13.99	-87.79	-86.32	-15.34	-32.21	71.66	-19.51
-23.52	33.96	-26.61	19.65	28.06	20.97	55.37	23.3	37.62	57.93	62.73	71.28
-45.65	-186.64	-126.72	-211.45	-29.54	-195.73	-180.08	-159.92	-249.92	-229.39	-114.81	-274.66
-23.95	73.21	9.38	-9.96	-37.65	21.56	-60.86	-8.52	3.54	22.51	-14.49	-5.84
522.75	411.57	289.41	567.45	579.8	579.61	353.14	160.2	318.04	527.65	417.25	251.37
64.29	103.66	50.54	40.68	64.15	106.34	40.93	99.85	23.12	29.51	49.95	47.51
87.51	53.17	40.42	11.11	7.78	21.38	15.61	-16.14	-21.48	2.38	-12.7	-3.49
-110.58	-81.43	-78.94	-51.53	-91.27	-133.54	-106.3	-33.07	-91.75	-87.35	-66.88	-66.14
87.52	102.16	107.2	89.76	50.16	203.84	45.36	162.48	204.32	276.24	296.96	117.6
103.44	110.29	109.27	100.67	105.72	88.97	96.08	99.6	84.4	72.73	85.87	81.8
55.5	67.68	73.05	56.5	54.38	46.51	55.1	59.99	59.86	59.82	49.82	43.52
252.94	53.92	123.14	200.39	-69.61	-94.9	67.65	194.71	4.31	-143.73	-78.43	19.22
12.45	20.06	4.46	-6.45	18.88	16.63	-7.32	5.17	8.97	7.4	0	-12.37
89.39	61.55	40.16	83.97	46.9	74.26	66.46	63.79	74.07	54.32	41.49	70.37
-20.94	-73.07	-18.29	-25.07	-23.22	-14.28	-0.68	-29.71	-5.49	-1.33	-18.41	-46.67
15.66	24.12	34.79	49.75	56.92	39.54	33.7	13.91	34.82	23.66	47	53.75
-0.87	15.61	21.34	10.9	15.99	25.55	22.72	12.79	2.95	4.59	16.01	14.67
8.37	-4.12	15.58	7.63	14.23	31.06	12.12	21.26	13.26	5.21	17.23	14.4
15.42	13.12	20.23	18.07	35.52	29.15	19.9	27.07	31.6	12.74	14.34	13.48
38.59	32.67	41.17	36.28	49.06	44.94	43.99	39.47	48.17	37.62	47.49	34.16
16.63	21.23	18.97	-2.28	19.48	24.46	20.25	20.19	19.77	5.35	19.96	19.18
16.23	24.21	26.71	24.07	26.01	28.18	24.36	27.23	31.61	15.1	26.58	11.73
27.98	29.48	29.73	29.7	28.72	25.71	14.41	25.09	23.33	18.2	22.89	24.28
9.43	5.72	3.08	11.19	8.74	19.83	5.15	6.42	14.19	2.97	17.62	3.78
-1.35	7.51	5.26	3.67	8.05	10.78	6.6	20.2	10.02	8.69	17.46	10.82
29.69	27.71	30.13	24.25	28.69	21.59	26.33	24.73	23.98	19.83	27.54	22.09
48.1	50.31	47.06	48.98	44.93	53.17	48.09	42.84	49.81	47.41	51.23	49
30.92	25.81	42.04	38.01	33.76	47.57	41.07	44.85	47.54	30.22	42.6	32.13
25.69	26.25	30.31	28.42	31.63	29.59	32.37	18.11	28.46	21.68	31.22	20.4
0.52	-7.8	8.99	-2.28	2.13	-0.82	-8.44	3.41	0.16	-21.07	2.72	-6.34
3.57	7.13	19.36	17.94	24.29	16.8	16.16	12.6	28.73	12.62	16.46	8.37
10.03	17.13	17.29	15.23	9.9	20.25	17.76	23.28	20.98	14.5	15.39	6.92
32.35	34.68	40.36	38.12	37.85	44.18	40.12	34.08	33.19	28.6	34.14	27.36
27.96	24.32	32.51	23.89	23.8	34.6	28.45	20.55	22.05	21.05	33.64	29.31
11	4.18	15.23	15.19	13.64	33.23	28.93	28.16	13.82	2.52	21.38	13.08
25.06	23.18	23.96	28.67	25.86	27.6	26.32	19.97	30.85	17.66	21.71	17.75
3.06	2.34	1.38	-3.6	7.44	9.67	0.35	1.27	2.46	-6.18	1.55	-2.41
19.59	20.42	26.17	18.46	27.14	25.99	25.55	23.43	28.48	21.28	30.1	25.15
37.59	33.35	45.74	38.88	40.91	46.08	43.89	45.65	41.02	38.46	42.8	35.82
23.36	3.06	18.1	3.74	30.76	21.07	11.21	25.01	21.45	11.59	15.61	18.81
33.75	21.16	27.01	23.55	21.75	36.72	30.94	27.23	27.1	16.79	35.57	20.92
-7.04	-14.96	-2.09	7.67	3.25	5.35	-0.43	-6.71	1.19	-13.8	-3.74	-2
-2.59	-8.07	13.44	3.87	3.75	11.95	13.04	2.89	5.59	3.35	10.53	-9.97
23.66	20.13	30.63	30.68	27.32	29.72	21.69	33.24	28.46	29.17	31.64	21.29
12.26	13.07	25.19	15.61	17.39	24.47	14.38	12.46	22.3	14.18	17.15	12.38
5.76	7.34	16.47	8.16	11.58	18.89	16.6	14.74	20.86	3.54	15.88	8
23.18	15.21	24.6	30.28	26.27	27.54	26.42	31.15	27.25	17	26.45	17.16
27.19	18.44	32.65	27.21	26.99	31.49	24.65	29.68	27.03	19.78	30.03	26.03
4.5	3.75	7.28	5.33	-3.75	12.68	1.47	4.95	13.65	3.55	9.98	1.42
27.28	30.17	23.87	19.95	39.69	30.33	32.84	31	28.72	32.06	30.36	31.85
28.61	29.66	35.47	29.02	28.32	36.75	32.01	30.89	30.14	29.51	27.25	23.85
21.06	18.25	24.24	21.09	25.85	23.07	23.58	20.84	28.59	15.99	34.9	25.45
10.04	14.46	27.75	18.23	19.54	17.89	21.83	17.17	13.81	6.37	20.79	6.53
23.08	20.47	31.26	27.61	31.71	26.87	25.65	31.73	29.58	28.2	34.14	21.99
15.4	20.22	25.09	24.45	14.83	17.07	24.18	12.6	23.44	18.2	20.31	9.4
28.09	26.38	37.24	36.58	40.72	37.04	31.84	35.79	33.18	32.53	40.66	24.05
1.66	-12.75	8.06	0.11	-2.82	5.08	7.73	-3.03	3.09	-3.26	9.86	-4.61
-3.1	-6.27	2.6	-5.6	1.03	13.39	5.28	0.56	7.01	-4.81	5.24	3.08
22.2	16.08	20.44	16.05	25.03	22.94	12.03	20.7	15.1	10.18	19.15	17.16
20.43	19.88	33.63	13.94	31.45	29.92	18.39	26.38	27.54	31.8	19.45	22.42
-29.97	-22.92	-0.91	-3.82	-5.41	-6.53	-13.36	-19.3	1.64	-7.09	-6.65	-16.12
-3.44	0.35	4.52	-16.13	4.37	12.04	6.64	8.34	6.73	-7.11	13.38	-14.13
