"Impatiens_glandulifera_B2__Pr_1"	"Impatiens_glandulifera_B2__Pr_2"	"Impatiens_glandulifera_B2__Lr_3"	"Impatiens_glandulifera_B2__Lr_4"	"Impatiens_glandulifera_B2__Lr_5"	"Impatiens_glandulifera_B2__Er_6"	"Impatiens_glandulifera_B2__Er_7"	"Impatiens_glandulifera_B2__Lr_8"	"Impatiens_glandulifera_B2__Lr_9"	"Impatiens_glandulifera_B2__Pr_10"	"Impatiens_glandulifera_B2__Pr_11"	"Impatiens_glandulifera_B2__Er_12"	"Impatiens_glandulifera_B2__Er_13"	"Impatiens_glandulifera_B2__Pr_14"	"Impatiens_glandulifera_B2__Pr_15"	"Impatiens_glandulifera_B2__Lr_16"	"Impatiens_glandulifera_B2__Lr_17"	"Impatiens_glandulifera_B2__Lr_18"	"Ranunculus_repens_B2__P_1"	"Ranunculus_repens_B2__P_2"	"Ranunculus_repens_B2__P_3"	"Ranunculus_repens_B2__P_4"	"Ranunculus_repens_B2__P_5"	"Ranunculus_repens_B2__P_6"	"Ranunculus_repens_B2__P_7"	"Ranunculus_repens_B2__P_8"	"Ranunculus_repens_B2__P_9"	"Ranunculus_repens_B2__P_10"	"Ranunculus_repens_B2__P_11"	"Ranunculus_repens_B2__P_12"	"Rubus_caesius_B2__P_1"	"Rubus_caesius_B2__P_2"	"Rubus_caesius_B2__P_3"	"Rubus_caesius_B2__P_4"	"Rubus_caesius_B2__P_5"	"Rubus_caesius_B2__P_6"	"Rubus_caesius_B2__P_7"
-12.88	-40.49	170.55	-96.07	-87.67	7.18	-25.64	34.11	-27.91	-104.11	24.42	-85.95	-0.18	-14.29	-24.79	107.36	-60.25	-45.34	-19.51	-33.01	3.07	-126.44	15.4	-18.4	-15.34	-28.04	-71.29	-122.76	-53.25	21.78	-19.26	-77.42	-61.04	43.87	-12.52	-47.42	84.72
-12.88	-40.49	170.55	-96.07	-87.67	7.18	-25.64	34.11	-27.91	-104.11	24.42	-85.95	-0.18	-14.29	-24.79	107.36	-60.25	-45.34	-19.51	-33.01	3.07	-126.44	15.4	-18.4	-15.34	-28.04	-71.29	-122.76	-53.25	21.78	-19.26	-77.42	-61.04	43.87	-12.52	-47.42	84.72
-12.88	-40.49	170.55	-96.07	-87.67	7.18	-25.64	34.11	-27.91	-104.11	24.42	-85.95	-0.18	-14.29	-24.79	107.36	-60.25	-45.34	-19.51	-33.01	3.07	-126.44	15.4	-18.4	-15.34	-28.04	-71.29	-122.76	-53.25	21.78	-19.26	-77.42	-61.04	43.87	-12.52	-47.42	84.72
1004.92	1131.15	881.97	553.11	273.61	654.92	480.33	451.8	407.7	637.54	556.39	704.43	312.62	615.25	480.66	581.31	680.33	414.92	498.03	654.75	519.02	736.56	436.23	801.97	463.28	512.95	618.03	451.31	354.75	537.21	751.8	545.25	758.52	444.1	707.54	483.44	348.03
183.4	196.91	156.76	138.46	119.65	134.25	72.82	112.28	160.35	131.54	88.26	115.17	116.02	173.24	161.08	86.1	129.5	146.29	156.99	102.16	179.23	141.58	165.98	139.15	180.62	115.17	118.84	70.39	140.08	134.17	176.91	178.61	158.03	140.04	136.06	144.36	179.34
12100	-1133.33	-866.67	-526.67	-3003.33	-5476.67	2980	786.67	6216.67	3516.67	-6.67	450	1643.33	-296.67	-1773.33	-2966.67	3233.33	-3583.33	-2873.33	-2913.33	2833.33	116.67	-5190	-2653.33	-1100	-2430	2526.67	1703.33	-2840	-2390	1406.67	380	-3316.67	836.67	280	-1830	3696.67
-615.79	1252.63	705.26	531.58	940.53	1181.58	1144.21	393.68	282.63	774.21	992.63	138.42	-186.84	1081.58	520	980	670.53	924.74	683.16	626.32	194.74	624.74	570	886.32	306.32	525.79	643.16	504.74	612.63	784.74	205.26	413.68	941.58	1210	473.68	932.11	920.53
331.11	-528.89	164.44	45.78	360.22	-40.22	11.11	-38.22	-133.56	85.56	60.89	-136.67	-294.44	80.22	-226.67	87.56	-272.44	-362	70.67	-268	42.22	88.22	-272.67	77.33	-1.33	-69.11	20	-230.89	8	-263.78	-317.78	-114.22	61.11	125.56	-96.89	-98.44	-26
-101.23	-334.97	-408.59	-28.34	-24.85	-108.65	18.53	-52.27	-10.25	-109.02	-25.64	-102.64	-62.02	-110.49	1.72	19.02	-94.6	8.65	18.77	-55.58	8.96	42.39	-51.35	-5.64	-136.07	-15.28	-13.37	-6.93	-77.79	-16.5	-33.01	-3.8	-30.61	-21.9	-116.56	-26.81	55.28
223.35	-14.98	122.47	-13.3	97.75	42.51	-45.9	52.69	-13	30.26	49.96	-17.31	-20.57	40.48	49.87	-6.78	54.01	7.62	57.18	48.19	-45.02	43.13	24.45	37.53	74.98	29.21	10.84	41.54	30.84	66.39	25.64	64.93	128.15	-2.33	21.32	47	3.74
32.82	-13.74	-288.55	-153.74	-215.34	-164.5	-210.23	-174.96	-222.82	-178.4	-129.62	-164.35	-116.26	-164.35	-227.48	-140	-161.68	-80.84	-189.16	-158.32	-227.02	-125.57	-139.62	-153.59	-70.38	-193.66	-82.6	-208.93	-120	-185.42	-179.08	-114.66	-244.5	-172.6	-223.21	-118.85	-254.89
