"Buddleja_davidii_C2__P_1"	"Buddleja_davidii_C2__P_2"	"Buddleja_davidii_C2__P_3"	"Buddleja_davidii_C2__P_4"	"Impatiens_glandulifera_C2__Lp_1"	"Impatiens_glandulifera_C2__Lp_2"	"Impatiens_glandulifera_C2__Pp_3"	"Impatiens_glandulifera_C2__Pp_4"	"Impatiens_glandulifera_C2__Ep_5"	"Impatiens_glandulifera_C2__Lp_6"	"Impatiens_glandulifera_C2__Lp_7"	"Impatiens_glandulifera_C2__Pp_8"	"Impatiens_glandulifera_C2__Pp_9"	"Impatiens_glandulifera_C2__Lp_10"	"Impatiens_glandulifera_C2__Lp_11"	"Impatiens_glandulifera_C2__Pp_12"	"Impatiens_glandulifera_C2__Pp_13"	"Impatiens_glandulifera_C2__Pp_14"	"Impatiens_glandulifera_C2__Lp_15"	"Impatiens_glandulifera_C2__Lp_16"	"Impatiens_glandulifera_C2__Pp_17"	"Impatiens_glandulifera_C2__Pp_18"
-54.48	69.08	-24.23	-11.1	-106.93	-50.25	62.27	-87.85	139.51	-55.03	-34.66	-77.18	36.44	6.26	-7.91	9.33	-7.36	-11.17	-8.9	-21.35	6.99	4.85
-54.48	69.08	-24.23	-11.1	-106.93	-50.25	62.27	-87.85	139.51	-55.03	-34.66	-77.18	36.44	6.26	-7.91	9.33	-7.36	-11.17	-8.9	-21.35	6.99	4.85
-54.48	69.08	-24.23	-11.1	-106.93	-50.25	62.27	-87.85	139.51	-55.03	-34.66	-77.18	36.44	6.26	-7.91	9.33	-7.36	-11.17	-8.9	-21.35	6.99	4.85
392.13	447.54	429.34	685.41	550.66	616.89	337.21	473.44	477.05	721.48	407.38	631.15	498.03	463.28	506.39	615.08	539.02	292.13	422.46	434.75	550.49	805.41
122.01	95.98	133.63	144.36	150.15	165.44	149.15	170.19	89.03	145.75	127.07	108.34	171.81	137.99	163.05	136.22	133.13	154.83	111.16	153.98	137.84	112.39
2160	1513.33	2256.67	2543.33	3416.67	-4436.67	-990	1733.33	3420	903.33	-2416.67	-673.33	326.67	-5740	-3256.67	1413.33	240	1686.67	476.67	173.33	-313.33	-2350
753.68	1182.11	1173.16	1108.95	884.74	840.53	424.74	543.16	876.84	563.68	292.11	306.32	413.68	390.53	-25.79	938.95	703.16	13.68	647.89	920	1078.95	757.37
257.78	52	16.67	-279.78	383.78	-88.22	122.89	403.56	177.33	-170.44	47.33	20	163.11	-157.78	-149.11	-80	261.33	-41.33	-53.11	-160.89	106.22	-220.22
-63.31	-97.79	-117.48	-90.61	16.75	-63.01	5.34	-22.09	-27.36	-10.86	-77.85	-49.69	-17.55	-27.12	-108.04	-76.07	-101.6	-3.31	18.59	-63.56	-42.09	-0.06
43.35	57.36	90.44	-7.97	4.98	61.19	66.56	87.05	50.84	62.69	20.22	20	8.55	37.62	49.3	16.56	21.5	8.19	-4.27	4.41	22.64	67.62
-131.3	-256.03	-170.61	-151.83	-181.91	-232.29	-252.29	-296.18	-142.75	-123.44	-231.22	-100.92	-220.92	-204.73	-147.86	-199.69	-95.88	-238.63	-110	-248.85	-172.06	-161.3
28.64	18.02	-41.93	49.18	27.7	30.16	12.8	-24.03	9.3	6.54	-7.45	-10.29	-12.43	62.14	3.91	-74.73	0.33	-26.58	1.28	-22.22	2.72	56.58
180.39	205.1	336.67	551.18	354.71	366.47	663.33	490.98	530.59	206.86	315.88	569.02	427.06	512.55	608.43	202.35	403.14	500.78	520.59	537.25	499.22	213.14
119.02	57.46	27.85	13.51	89.71	54.78	42.59	88.59	67.02	57.8	74.39	52	-4.78	76.2	89.8	49.56	80.78	10.44	118.68	46.63	3.02	58.59
-46.14	-36.72	9.05	72.22	-17.83	18.78	-3.76	-14.81	37.99	42.38	-113.17	35.24	25.29	-46.88	-53.28	-39.37	57.99	-15.77	-32.12	36.19	-27.2	24.6
-163.81	-128.15	-101.01	-63.23	-72.86	-116.67	-83.33	-102.86	-31.43	-82.06	-27.67	-93.44	-88.15	-118.84	-114.23	-99.47	-86.77	-39.47	-12.65	-78.1	-85.61	-77.83
