"Sinapis_arvensis_D2__P_1"	"Sinapis_arvensis_D2__P_2"	"Sinapis_arvensis_D2__P_3"	"Sinapis_arvensis_D2__P_4"	"Sinapis_arvensis_D2__P_5"	"Sinapis_arvensis_D2__P_6"	"Sinapis_arvensis_D2__P_7"	"Sinapis_arvensis_D2__P_8"	"Buddleja_davidii_D2__P_1"	"Buddleja_davidii_D2__P_2"	"Buddleja_davidii_D2__P_3"	"Buddleja_davidii_D2__P_4"	"Buddleja_davidii_D2__P_5"	"Buddleja_davidii_D2__P_6"	"Buddleja_davidii_D2__P_7"	"Buddleja_davidii_D2__P_8"	"Buddleja_davidii_D2__P_9"	"Buddleja_davidii_D2__P_10"	"Buddleja_davidii_D2__P_11"	"Buddleja_davidii_D2__P_12"	"Buddleja_davidii_D2__P_13"	"Buddleja_davidii_D2__P_14"
-266.5	-333.98	24.76	-463.59	-353.88	-121.84	550.97	-51.94	-683.98	-303.4	-379.61	287.86	45.63	-132.04	-358.25	-529.61	583.98	124.27	-541.26	148.54	356.31	177.67
-266.5	-333.98	24.76	-463.59	-353.88	-121.84	550.97	-51.94	-683.98	-303.4	-379.61	287.86	45.63	-132.04	-358.25	-529.61	583.98	124.27	-541.26	148.54	356.31	177.67
-266.5	-333.98	24.76	-463.59	-353.88	-121.84	550.97	-51.94	-683.98	-303.4	-379.61	287.86	45.63	-132.04	-358.25	-529.61	583.98	124.27	-541.26	148.54	356.31	177.67
145.96	35.87	0.67	-2.47	-192.15	130.27	-93.5	-239.24	24.89	118.16	-60.54	265.7	-14.8	-86.1	175.34	103.36	-35.2	236.77	1.12	348.43	100	-21.97
-3.1	-7.49	-34.44	64.85	65.91	-11.87	33.63	121.93	-36.55	-36.55	23.51	57.13	-43.16	-4.68	-13.22	15.73	25.44	45.85	43.33	-36.37	85.03	-17.89
46.35	12.64	4.07	34.33	26.67	26.55	-4.92	-3.58	-71.99	-50.61	22.48	-33.96	23.21	11.66	-62.33	-17.68	41.01	-43.74	-134.81	-88.34	-13.73	-45.81
5538.89	4355.56	-3572.22	-1272.22	4138.89	1483.33	-2927.78	-1272.22	-261.11	-2572.22	3188.89	-5338.89	-3366.67	-1333.33	4633.33	5705.56	250	7555.56	-116.67	4700	10055.56	4188.89
-199.03	44.57	-173.4	-101.81	-150.56	-95.13	93.45	-153.06	-111.56	-66.99	-213.65	-325.21	135.65	-171.59	-96.1	-192.06	-155.57	-135.93	-179.81	-71.03	-125.07	-78.27
35.88	13.14	98.28	50.82	130.79	24.55	52.63	60.02	-27.5	78.9	3.78	3.86	105.25	152.38	-41.87	163.14	60.18	31.53	-59.52	53.69	60.59	98.69
153.59	50.98	87.31	25.32	119.99	118.02	63.9	113.38	149.19	105.62	141.02	58.46	131.52	63.96	45.31	157.42	141.08	67.67	163.44	103.01	98.15	79.61
-348.1	-952.38	-542.38	-528.1	-1176.67	-352.86	-372.86	-467.14	-852.86	-532.86	-465.71	-731.9	-1012.38	-754.29	-204.76	-768.1	-1197.62	-1188.57	-909.05	-648.57	-1050.48	-1004.76
36.9	31.44	0.22	-54.37	-13.46	-40.39	16.23	-21.76	-5.9	46.51	4.8	67.61	-51.38	12.81	63.9	-30.49	-40.54	71.03	15.5	56.04	46.43	-26.93
388.25	55.3	139.4	175.81	127.42	234.79	188.25	153.69	184.56	335.71	335.02	132.49	44.7	151.15	151.61	-21.43	113.59	176.96	54.15	187.56	464.98	240.09
