"Convolvulus_arvensis_E2__P_1"	"Convolvulus_arvensis_E2__P_2"	"Convolvulus_arvensis_E2__P_3"	"Convolvulus_arvensis_E2__P_4"	"Convolvulus_arvensis_E2__P_5"	"Convolvulus_arvensis_E2__P_6"	"Convolvulus_arvensis_E2__P_7"	"Convolvulus_arvensis_E2__P_8"	"Convolvulus_arvensis_E2__P_9"	"Helminthia_echioides_E2__P_1"	"Helminthia_echioides_E2__P_2"	"Helminthia_echioides_E2__P_3"	"Helminthia_echioides_E2__P_4"	"Helminthia_echioides_E2__P_5"	"Centaurea_nigra_E2__P_1"	"Centaurea_nigra_E2__P_2"	"Centaurea_nigra_E2__P_3"	"Centaurea_nigra_E2__P_4"	"Rubus_caesius_E2__P_1"	"Rubus_caesius_E2__P_2"	"Rubus_caesius_E2__P_3"	"Scabiosa_columbaria_E2__P_1"	"Scabiosa_columbaria_E2__P_2"	"Scabiosa_columbaria_E2__P_3"	"Scabiosa_columbaria_E2__P_4"	"Oenothera_rosea_E2__P_1"	"Oenothera_rosea_E2__P_2"	"Oenothera_rosea_E2__P_3"	"Colchicum_autumnale_E2__P_1"	"Colchicum_autumnale_E2__P_2"	"Colchicum_autumnale_E2__P_3"	"Colchicum_autumnale_E2__P_4"	"Convolvulus_sepium_E2__P_1"	"Convolvulus_sepium_E2__P_2"	"Reynoutria_japonica_E2__P_1"	"Reynoutria_japonica_E2__P_2"	"Reynoutria_japonica_E2__P_3"	"Reynoutria_japonica_E2__P_4"	"Reynoutria_japonica_E2__P_5"	"Reynoutria_japonica_E2__P_6"	"Reynoutria_japonica_E2__P_7"	"Reynoutria_japonica_E2__P_8"
-35.4	-15.71	88.65	-32.82	-15.34	-21.66	-32.27	-125.89	79.2	18.9	-91.9	73.07	18.83	62.02	24.91	-50.55	6.5	-21.66	-63.01	60.43	-10	-19.82	-72.09	41.41	-65.03	-1.1	19.26	12.76	21.6	-89.2	69.08	-2.82	127.67	10.55	52.21	-5.4	63.44	65.64	11.04	-26.81	-1.29	30.12
-35.4	-15.71	88.65	-32.82	-15.34	-21.66	-32.27	-125.89	79.2	18.9	-91.9	73.07	18.83	62.02	24.91	-50.55	6.5	-21.66	-63.01	60.43	-10	-19.82	-72.09	41.41	-65.03	-1.1	19.26	12.76	21.6	-89.2	69.08	-2.82	127.67	10.55	52.21	-5.4	63.44	65.64	11.04	-26.81	-1.29	30.12
-35.4	-15.71	88.65	-32.82	-15.34	-21.66	-32.27	-125.89	79.2	18.9	-91.9	73.07	18.83	62.02	24.91	-50.55	6.5	-21.66	-63.01	60.43	-10	-19.82	-72.09	41.41	-65.03	-1.1	19.26	12.76	21.6	-89.2	69.08	-2.82	127.67	10.55	52.21	-5.4	63.44	65.64	11.04	-26.81	-1.29	30.12
527.38	747.54	757.21	580.82	429.18	627.05	700	640.66	480.82	689.18	568.2	408.03	631.64	324.75	476.39	441.97	271.15	317.54	561.8	376.23	630	519.84	368.36	490	680	383.28	376.07	209.84	702.95	663.28	654.75	314.43	340.82	685.25	542.46	565.25	701.31	370.16	563.28	562.13	556.89	318.2
143.9	174.83	145.37	111.54	209.65	117.95	121.16	166.02	130.77	132.36	159.61	80.58	120.58	133.55	175.06	139.31	185.1	124.75	165.44	147.37	148.76	171.62	165.29	179.27	144.4	179.07	135.68	87.1	164.32	140.31	84.25	98.3	120.5	135.14	121.81	125.1	134.44	119.77	102.08	141.89	122.74	120.27
-4216.67	-2080	2683.33	-2636.67	-2380	2450	4220	2973.33	1690	120	20	-1630	-843.33	-1216.67	1353.33	3440	-233.33	-1390	-3423.33	2910	-2090	1376.67	883.33	490	-600	1753.33	-2153.33	-2666.67	-160	-2660	-1846.67	-1380	1336.67	-2520	-736.67	-4240	1580	-3633.33	173.33	1050	-2203.33	-550
690	951.58	1442.63	206.84	373.68	1119.47	716.84	410.53	468.95	1837.89	407.37	1401.58	355.26	363.68	533.68	517.89	906.32	1271.05	1152.11	1116.32	638.42	1211.05	914.21	515.26	957.89	731.58	485.26	623.16	126.32	801.05	1283.16	1104.21	320.53	1033.68	397.37	12.63	13.68	7.37	675.79	123.68	317.37	738.42
53.56	-49.78	414.89	-169.11	98.22	-337.56	-43.11	-48.89	-73.56	-221.33	-122.22	48.22	244.67	123.78	279.56	76.44	-108.89	-63.78	-31.33	399.78	196.22	-148.67	175.78	152.22	15.11	199.56	-247.56	128	49.78	209.33	204.89	74.22	170.44	338.67	-100.22	460.44	-41.33	32.44	109.33	-84.22	90	182.44
-3.01	-64.79	-53.68	-66.2	-49.69	-62.88	-34.23	-159.26	77.24	-121.47	-32.02	-107.55	-122.52	-36.13	-49.69	-108.47	-34.72	-104.11	-55.15	-173.19	-0.18	-61.04	-37.73	-29.26	-14.97	-41.35	-101.47	55.95	-61.84	-87.24	-52.64	-99.02	-3.87	-121.96	-90.12	-38.77	-0.37	-55.09	-31.17	-110.25	-45.46	-71.96
29.56	11.28	25.59	-51.06	69.34	-18.37	43.79	3.35	95.64	-18.15	68.63	23.57	105.86	11.41	20.7	38.41	65.29	7.71	57.67	-15.11	11.15	63.3	28.59	9.3	-2.29	-2.2	6.08	-2.11	21.15	52.95	16.48	-4.85	37.4	8.99	-15.37	49.69	-14.36	54.19	19.91	18.81	-3.74	-19.25
