"Veronica_chamaedrys_F2__P_1"	"Veronica_chamaedrys_F2__P_2"	"Veronica_chamaedrys_F2__P_3"	"Veronica_chamaedrys_F2__P_4"	"Helminthia_echioides_F2__P_1"	"Helminthia_echioides_F2__P_2"	"Helminthia_echioides_F2__P_3"	"Helminthia_echioides_F2__P_4"	"Helminthia_echioides_F2__P_5"	"Helminthia_echioides_F2__P_6"	"Helminthia_echioides_F2__P_7"	"Aegopodium_podagraria_F2__P_1"	"Aegopodium_podagraria_F2__P_2"	"Aegopodium_podagraria_F2__P_3"	"Aegopodium_podagraria_F2__P_4"	"Aegopodium_podagraria_F2__P_5"	"Aegopodium_podagraria_F2__P_6"	"Aegopodium_podagraria_F2__P_7"	"Aegopodium_podagraria_F2__P_8"	"Aegopodium_podagraria_F2__P_9"	"Aegopodium_podagraria_F2__P_10"	"Mentha_suaveolens_F2__P_1"	"Mentha_suaveolens_F2__P_2"	"Mentha_suaveolens_F2__P_3"	"Mentha_suaveolens_F2__P_4"	"Valeriana_officinalis_F2__P_1"	"Valeriana_officinalis_F2__P_2"	"Valeriana_officinalis_F2__P_3"	"Valeriana_officinalis_F2__P_4"	"Valeriana_officinalis_F2__P_5"	"Valeriana_officinalis_F2__P_6"	"Eupatorium_cannabinum_F2__P_1"	"Eupatorium_cannabinum_F2__P_2"	"Eupatorium_cannabinum_F2__P_3"	"Eupatorium_cannabinum_F2__P_4"	"Eupatorium_cannabinum_F2__P_5"	"Eupatorium_cannabinum_F2__P_6"	"Eupatorium_cannabinum_F2__P_7"	"Eupatorium_cannabinum_F2__P_8"	"Eupatorium_cannabinum_F2__P_9"	"Eupatorium_cannabinum_F2__P_10"	"Ranunculus_repens_F2__P_1"	"Ranunculus_repens_F2__P_2"	"Ranunculus_repens_F2__P_3"	"Ranunculus_repens_F2__P_4"	"Ranunculus_repens_F2__P_5"	"Ranunculus_repens_F2__P_6"
278.64	-170.39	435.44	-328.16	-136.41	-507.77	787.86	-310.68	-258.74	13.11	-450.97	-294.66	-137.86	489.81	-170.87	-529.13	-356.8	518.45	-166.02	603.88	84.95	106.8	1.41	4.29	-96.01	-11.6	-4.79	-21.23	-3.5	-75.95	-35.21	5.15	0.98	37.85	-49.14	-74.85	15.77	90.61	-13.31	-7.91	-32.21	-33.68	-5.15	16.56	-53.8	-4.29	-65.52
278.64	-170.39	435.44	-328.16	-136.41	-507.77	787.86	-310.68	-258.74	13.11	-450.97	-294.66	-137.86	489.81	-170.87	-529.13	-356.8	518.45	-166.02	603.88	84.95	106.8	1.41	4.29	-96.01	-11.6	-4.79	-21.23	-3.5	-75.95	-35.21	5.15	0.98	37.85	-49.14	-74.85	15.77	90.61	-13.31	-7.91	-32.21	-33.68	-5.15	16.56	-53.8	-4.29	-65.52
278.64	-170.39	435.44	-328.16	-136.41	-507.77	787.86	-310.68	-258.74	13.11	-450.97	-294.66	-137.86	489.81	-170.87	-529.13	-356.8	518.45	-166.02	603.88	84.95	106.8	1.41	4.29	-96.01	-11.6	-4.79	-21.23	-3.5	-75.95	-35.21	5.15	0.98	37.85	-49.14	-74.85	15.77	90.61	-13.31	-7.91	-32.21	-33.68	-5.15	16.56	-53.8	-4.29	-65.52
110.76	150.9	-14.13	275.34	166.59	-112.56	-95.29	-35.87	52.69	364.8	-10.99	158.07	-103.14	54.04	-3.59	125.11	-28.48	178.48	-4.93	88.79	-79.15	-11.66	699.18	502.62	479.51	350.98	752.46	505.25	945.74	627.87	555.74	495.08	401.31	431.31	364.75	454.43	471.97	487.05	630.98	750.33	479.51	593.61	624.92	359.67	781.15	457.38	440
4.56	-31.75	-18.65	88.65	-13.63	18.36	14.44	-15.91	27.78	-5.91	84.15	1.93	-98.01	84.27	-2.81	44.8	115.15	-8.65	37.08	15.67	50.47	-1.17	159.65	114.52	152.7	126.76	141.54	141.08	127.53	136.29	91.51	137.92	197.68	190.62	101.89	152.43	127.3	107.07	146.68	146.99	142.82	132.63	166.64	117.92	128.61	68.34	152.74
-17.62	-34.93	-56.32	-11.91	80.13	-107.29	45.14	33.05	-60.57	-121.81	-37	-27.16	-22.11	-26.18	18.47	-12.76	-9.66	2.67	57.96	-21.63	5.77	18.23	-4136.67	446.67	-8256.67	756.67	2193.33	-2593.33	-990	300	-2340	493.33	-906.67	-3010	-1123.33	-2573.33	110	-1850	-6590	583.33	916.67	-3376.67	253.33	-1766.67	170	-980	1186.67
722.22	8438.89	-3205.56	-866.67	583.33	8033.33	227.78	8000	-1127.78	-3794.44	5338.89	8794.44	-3400	3283.33	-3466.67	-4966.67	-627.78	4111.11	6077.78	5888.89	4361.11	-955.56	567.89	643.16	254.21	557.37	-57.89	483.16	222.63	737.89	1020	2.11	976.84	981.58	622.63	696.84	960.53	448.95	391.05	344.74	515.26	300.53	410.53	403.16	582.63	485.26	751.58
-91.64	-86.77	-55.57	-80.78	-172.84	-134.54	-92.62	69.08	-138.86	-277.02	22.14	-124.65	-124.23	-187.05	-265.18	30.92	-104.6	-165.46	-188.02	-27.3	-17.97	-16.16	-332.22	5.78	27.78	-114.44	184.44	446.67	297.11	-212	145.33	-18.67	-92.44	-30.44	142.44	-45.33	181.11	-104.22	-257.56	-149.11	-11.33	-358	160.89	249.33	234	-261.78	-146.67
-49.75	76.11	-52.63	17.41	-50.49	-75.7	24.38	26.27	-94.17	116.01	76.27	32.76	87.68	-19.79	78.82	51.4	60.34	33.17	24.14	-14.12	-69.54	81.77	-68.28	10.18	-43.01	-25.34	-18.53	-61.47	-47.67	-120.12	-13.62	-29.2	-53.01	-98.59	-0.06	-84.66	-119.69	-30.12	-53.56	-4.97	-91.1	-20.92	-78.77	-46.26	-70.49	-43.56	-170.55
103.71	139.11	101.1	57.24	93.11	84.94	87.54	112.17	163.79	101.68	113.96	185.46	58.63	64.02	107.53	187.14	127.98	51.68	148.9	68.37	143.63	149.94	-31.41	46.78	32.56	39.6	14.19	53.83	75.02	34.98	-12.6	28.37	16.92	56.78	47.18	59.74	-9.12	5.15	27.8	16.87	18.46	25.86	25.9	64.76	2.95	74.45	3
-128.57	-998.57	-564.29	-912.38	-437.62	-941.9	-376.67	-266.67	-774.76	-1430	-1348.1	-160.48	-558.1	-1478.57	121.9	-418.1	-0.48	-980.95	-522.86	-660.95	-746.19	-485.71	-174.12	-155.88	-74.27	-153.66	-238.02	-161.98	-174.12	-190.99	-141.53	-130.38	-192.98	-288.78	-215.04	-284.89	-151.37	-182.82	-93.51	-135.65	-104.81	-223.89	-199.39	-143.05	-174.43	-215.42	-86.41
-26.93	57.13	15.21	-8.44	8.66	-5.09	54.08	27.95	-7.35	69.51	-65.28	26.86	42.21	-17.39	2.33	83.7	-47.67	-23.58	42.65	66.08	3.42	-20.09	32.55	-2.39	25.14	-15.68	31.03	-48.48	13.46	-20	8.64	35.06	22.39	-8.85	-38.23	3.13	23.09	11.4	-1.03	-3.99	-57.16	2.43	43.95	46.01	13.29	-9.47	5.43
