"Daucus_carota_G2__P_1"	"Daucus_carota_G2__P_2"	"Daucus_carota_G2__P_3"	"Daucus_carota_G2__P_4"	"Daucus_carota_G2__P_5"	"Daucus_carota_G2__P_6"	"Daucus_carota_G2__P_7"	"Daucus_carota_G2__P_8"	"Achillea_millefolium_G2__P_1"	"Achillea_millefolium_G2__P_2"	"Achillea_millefolium_G2__P_3"	"Achillea_millefolium_G2__P_4"	"Achillea_millefolium_G2__P_5"	"Achillea_millefolium_G2__P_6"	"Erigeron_karvinskianus_G2__P_1"	"Erigeron_karvinskianus_G2__P_2"	"Erigeron_karvinskianus_G2__P_3"	"Erigeron_karvinskianus_G2__P_4"	"Erigeron_karvinskianus_G2__P_5"	"Erigeron_karvinskianus_G2__P_6"	"Erigeron_karvinskianus_G2__P_7"	"Erigeron_karvinskianus_G2__P_8"	"Rubus_caesius_G2__P_1"	"Rubus_caesius_G2__P_2"	"Rubus_caesius_G2__P_3"	"Rubus_caesius_G2__P_4"	"Rubus_caesius_G2__P_5"	"Rubus_caesius_G2__P_6"	"Trifolium_repens_G2__P_1"	"Trifolium_repens_G2__P_2"	"Trifolium_repens_G2__P_3"	"Trifolium_repens_G2__P_4"	"Trifolium_repens_G2__P_5"	"Trifolium_repens_G2__P_6"	"Trifolium_pratense_G2__P_1"	"Trifolium_pratense_G2__P_2"	"Trifolium_pratense_G2__P_3"	"Trifolium_pratense_G2__P_4"	"Scabiosa_columbaria_G2__P_1"	"Scabiosa_columbaria_G2__P_2"	"Scabiosa_columbaria_G2__P_3"	"Scabiosa_columbaria_G2__P_4"	"Verbascum_thapsus_G2__P_1"	"Verbascum_thapsus_G2__P_2"	"Verbascum_thapsus_G2__P_3"	"Verbascum_thapsus_G2__P_4"
-8.93	138.63	155.21	170.46	41.23	36.65	-9	134.28	172.27	42.34	74.64	99.45	97.79	31.83	151.74	63.03	66.19	11.85	29.62	137.68	45.89	109.24	197.95	221.48	57.35	30.02	-86.73	245.66	79.46	127.25	61.53	32.07	212.95	6.24	98.89	44.55	19.59	25.75	-41	141.39	254.19	130.25	37.91	113.98	133.33	-65.32
-8.93	138.63	155.21	170.46	41.23	36.65	-9	134.28	172.27	42.34	74.64	99.45	97.79	31.83	151.74	63.03	66.19	11.85	29.62	137.68	45.89	109.24	197.95	221.48	57.35	30.02	-86.73	245.66	79.46	127.25	61.53	32.07	212.95	6.24	98.89	44.55	19.59	25.75	-41	141.39	254.19	130.25	37.91	113.98	133.33	-65.32
-8.93	138.63	155.21	170.46	41.23	36.65	-9	134.28	172.27	42.34	74.64	99.45	97.79	31.83	151.74	63.03	66.19	11.85	29.62	137.68	45.89	109.24	197.95	221.48	57.35	30.02	-86.73	245.66	79.46	127.25	61.53	32.07	212.95	6.24	98.89	44.55	19.59	25.75	-41	141.39	254.19	130.25	37.91	113.98	133.33	-65.32
3.86	-91.37	138.86	22.4	-11.14	-41.13	115.42	16.89	105.08	66.1	-32.25	68.24	20.93	-40.94	1.04	40.02	31.7	-29.01	30.78	82.19	14.01	56.24	9.42	100.12	35.62	50.67	-18.24	117.87	50.8	-11.08	90.76	27.78	-41.62	21.48	71.73	-39.9	-12.24	-26.07	24.05	20.44	-17.5	141.06	26.44	-7.65	149.33	42.41
153.69	142.62	248.52	109.59	122.14	271.59	192.25	563.1	196.86	33.95	-47.42	189.85	320.66	459.96	209.41	499.26	527.31	518.45	31.18	404.61	185.06	161.07	440.96	152.77	406.27	109.96	305.9	356.09	372.32	27.49	310.89	193.73	-45.76	-50	191.14	430.26	-66.42	111.07	343.73	292.62	197.42	-138.93	377.86	645.94	-36.9	300.18
38.22	16.67	56.52	60.4	88.97	102.26	24.31	31.58	27.44	199.5	116.17	10.65	237.84	145.99	72.06	64.41	27.32	109.52	151.5	56.27	9.4	77.32	42.86	123.81	197.74	96.74	85.46	-80.95	-5.76	30.7	102.88	79.45	81.2	6.14	117.79	103.76	-33.08	55.39	-23.18	210.78	140.1	1.88	-128.32	-106.64	135.34	-28.7
298.59	127.51	25.1	15.66	95.18	559.04	92.77	167.87	-72.89	65.86	-115.46	188.55	10.84	-21.89	450	153.82	210.04	78.31	101	92.97	-27.91	110.64	108.03	171.08	75.1	449	17.27	1.2	185.94	18.27	56.83	120.08	322.89	76.91	546.99	209.64	223.29	33.33	59.64	105.62	260.64	-128.31	122.09	360.44	255.42	90.96
124.21	-45.89	52.62	43.55	-107.1	124.11	100.37	-120	14.49	15.7	186.82	196.36	-15.51	-54.11	80.65	94.39	-58.88	-14.02	99.53	95.79	164.02	27.76	82.8	144.67	-11.03	-63.93	-37.94	95.14	-89.53	-21.96	91.68	-70.84	60.56	59.91	68.41	50.47	35.14	-31.96	-62.15	-34.21	14.77	-43.46	49.35	-30.19	62.06	-42.34
-3916.67	-7494.44	161.11	-2144.44	1833.33	-800	788.89	3311.11	383.33	-1555.56	-2038.89	1216.67	2788.89	-1761.11	-11461.11	-544.44	-4944.44	-1300	-4138.89	-1250	-6905.56	-1738.89	500	-866.67	1188.89	-1711.11	-233.33	-5833.33	-2500	-6161.11	-2250	-7522.22	-5022.22	-1605.56	-2022.22	-8955.56	-10088.89	-1122.22	-3327.78	1500	-4522.22	-2927.78	-1422.22	-872.22	-5111.11	-4327.78
130.19	30.79	16.41	130.15	52.8	58.57	123.26	4.31	96.68	59.6	109.6	36.3	60.21	64.21	56.55	106.72	105.68	104.31	111.24	68.86	54.65	60.25	77.61	99.4	38.16	32.21	43.67	83.63	89.49	53.53	90.05	21.62	72.7	68.17	38.76	-0.52	7.24	45.05	43.11	78.47	62.79	27.61	77.86	46.3	76.14	71.88
