"Malva_sylvestris_H2__P_1"	"Malva_sylvestris_H2__P_2"	"Malva_sylvestris_H2__P_3"	"Malva_sylvestris_H2__P_4"
84.2	84.28	36.18	191.94
84.2	84.28	36.18	191.94
84.2	84.28	36.18	191.94
82.86	156.36	85.8	131.09
331.73	242.99	1.11	147.97
-97.49	84.84	-117.54	24.31
178.71	53.61	336.14	121.69
-3.93	28.88	102.24	-41.68
-11855.56	-4916.67	1744.44	-5611.11
76.23	79.72	-22.31	85.36
-15.59	-63.72	-85.45	-128.27
143.22	41.6	55.4	200.51
50.33	76.8	222.88	156.21
-856.52	289.13	152.17	456.52
48.01	209.42	118.04	90.98
-94.38	162.85	127.31	144.18
-5.16	258.11	154.05	179.12
-556.79	66.05	45.68	206.17
208.08	-70.61	181.34	-22.01
-2441.94	-662.9	-558.06	-1983.87
-103.31	66.78	-18.2	22.93
-2252	150	-1068	-1348
51.75	235.6	17.51	158.37
74.85	41.99	9.73	-1.52
68.72	37.56	46.19	27.38
80.51	11.76	28.35	41.16
84.29	72.07	82.16	65
84.99	31.85	73.26	32.82
69.42	44.67	86.54	40.81
71.81	43.94	52.07	60.13
79.49	40.31	53.56	25.17
77.73	47.51	57.37	38.52
98.39	55.22	112.16	-6.83
56.89	65.58	59.29	26.77
49.66	21.47	58.4	46.66
69.9	30.66	52.61	43.88
74.18	21.78	56.12	7.63
103.3	60.6	77.4	0.57
55.59	25.31	63.71	26.37
44.18	37.98	62.49	18.59
25.19	17.76	51.41	28.82
46.01	30.08	60.33	29.13
43.77	21.45	66.39	30.31
43.16	46.2	50.69	22.15
65.07	41.48	49.56	54.39
62.3	31.83	53.01	17.53
57.52	25.03	49.98	25.63
50.68	38.08	48.82	14.72
94	35.19	60.37	31.63
74.99	42.19	53.51	22.36
60.3	-0.24	44.64	1.47
74.35	48.1	41.08	21.82
34.76	43.42	51.89	27.94
81.04	34.19	51.41	10.23
78.16	48.84	69.43	47.66
74.79	72.42	29.85	-0.73
66.01	41.96	46.09	38.48
83.58	5.02	38.87	35.35
93.36	56.46	75.95	37.22
76.57	43.31	62.94	11.67
63.42	21.9	50.65	26.64
74.4	26.27	74.87	41.71
56.27	41	65.61	24.09
53.8	54.06	54.65	40.73
76.93	52.48	41.22	30.72
44.2	56.45	34.48	40.06
75.36	46.69	24.61	41.31
32.14	37.13	50.1	2.3
72.43	39.51	62.41	46.66
76.74	54.69	54.71	46.11
82.86	36.69	40.83	11.12
36.93	31.66	32.99	21.74
