"Colchicum_autumnale_M2__P_1"	"Colchicum_autumnale_M2__P_2"	"Colchicum_autumnale_M2__P_3"	"Colchicum_autumnale_M2__P_4"	"Colchicum_autumnale_M2__P_5"	"Colchicum_autumnale_M2__P_6"	"Colchicum_autumnale_M2__P_7"	"Colchicum_autumnale_M2__P_8"	"Colchicum_autumnale_M2__P_9"	"Colchicum_autumnale_M2__P_10"	"Colchicum_autumnale_M2__P_11"	"Colchicum_autumnale_M2__P_12"	"Colchicum_autumnale_M2__P_13"	"Colchicum_autumnale_M2__P_14"	"Colchicum_autumnale_M2__P_15"	"Colchicum_autumnale_M2__P_16"	"Filipendula_ulmaria_M2__P_1"	"Filipendula_ulmaria_M2__P_2"	"Filipendula_ulmaria_M2__P_3"	"Trifolium_pratense_M2__P_1"	"Trifolium_pratense_M2__P_2"	"Trifolium_pratense_M2__P_3"	"Trifolium_pratense_M2__P_4"	"Trifolium_pratense_M2__P_5"	"Trifolium_pratense_M2__P_6"	"Malva_alcea_M2__P_1"	"Malva_alcea_M2__P_2"	"Malva_alcea_M2__P_3"	"Malva_alcea_M2__P_4"	"Malva_alcea_M2__P_5"	"Malva_alcea_M2__P_6"	"Malva_alcea_M2__P_7"
36.57	118.09	121.72	74.57	123.38	135.55	168.96	204.19	172.12	-41.23	51.66	138.15	37.44	79.38	17.69	89.57	74.17	144.94	62.09	82.31	28.91	57.82	-10.66	34.28	36.33	51.66	21.41	126.15	8.21	66.43	89.26	110.82
36.57	118.09	121.72	74.57	123.38	135.55	168.96	204.19	172.12	-41.23	51.66	138.15	37.44	79.38	17.69	89.57	74.17	144.94	62.09	82.31	28.91	57.82	-10.66	34.28	36.33	51.66	21.41	126.15	8.21	66.43	89.26	110.82
36.57	118.09	121.72	74.57	123.38	135.55	168.96	204.19	172.12	-41.23	51.66	138.15	37.44	79.38	17.69	89.57	74.17	144.94	62.09	82.31	28.91	57.82	-10.66	34.28	36.33	51.66	21.41	126.15	8.21	66.43	89.26	110.82
75.34	82.68	42.41	12.73	4.53	17.87	3.61	-12.18	26.62	29.74	-33.41	-74.11	7.47	77.17	56.79	34.15	-16.95	41.8	20.69	14.81	25.34	47.74	-58.2	33.41	35.01	5.75	78.27	38.98	2.45	-21.97	43.7	48.65
79.89	231.92	288.38	-301.11	373.06	152.77	393.54	269.93	276.94	512.55	280.81	179.15	237.27	537.82	185.98	493.36	240.04	242.99	471.96	291.88	174.54	107.01	269.93	200.37	198.52	449.08	109.41	204.24	323.25	160.7	190.04	175.09
126.44	51.25	-88.85	-6.02	229.32	83.71	24.69	175.31	121.93	75.44	84.46	55.51	111.03	184.84	-4.01	-5.76	161.03	136.97	-52.38	39.85	98.5	-43.61	115.16	130.08	148.87	116.54	166.54	-35.71	53.13	-175.56	-45.36	66.79
218.27	223.09	90.96	122.09	-62.25	338.15	-10.64	387.35	215.86	104.02	121.69	367.27	-1.2	307.83	131.73	176.31	207.83	448.8	170.68	228.51	304.82	240.16	156.02	77.51	53.82	57.43	292.17	262.85	-36.95	17.87	-91.16	182.13
-10.37	66.64	-18.41	46.36	-57.76	2.62	-8.5	103.83	59.53	45.79	-40.19	12.99	238.32	-53.55	200.37	91.4	93.18	-86.26	-34.58	37.2	-19.25	-11.59	81.4	108.97	100.56	-104.49	74.86	30.19	78.5	51.5	67.85	37.85
-538.89	-5205.56	-9038.89	-711.11	766.67	-3888.89	61.11	-7061.11	372.22	-5477.78	-3655.56	-950	144.44	-8905.56	-5244.44	-8100	594.44	-2072.22	1788.89	-5144.44	-7477.78	2200	1205.56	-1677.78	-1355.56	3100	438.89	-7305.56	-4666.67	2894.44	-1366.67	1483.33
31.65	100.9	71.88	11.71	49.35	16.02	63.18	95.48	54.57	70.54	19.21	92.55	12.14	67.4	109.56	58.48	105.21	78.34	57.97	29.03	72.27	76.31	99.61	86.22	46.68	66.06	88.16	46.73	71.32	57.58	101.72	143.8
