"cat" "species" "purity" "dS" "dL"
"1" "gp1" "Achillea_millefolium" 0.325635084 0.132367295 0.594288835
"2" "gp1" "Aegopodium_podagraria" 0.386923853 0.157280561 0.657884008
"3" "gp1" "Alliaria_petiolata" 0.242265386 0.098478375 0.600600251
"4" "gp1" "Angelica_sylvestris" 0.378695967 0.153936002 0.60767652
"5" "gp1" "Anthriscus_sylvestris" 0.597912997 0.261473083 0.725214519
"6" "gp1" "Bellis_perennis" 0.304363567 0.123720646 0.600315922
"7" "gp1" "Campanula_persicifolia" 0.30414505 0.149029213 0.664759435
"8" "gp1" "Centaurea_nigra" 0.364889363 0.153609494 0.691527706
"9" "gp1" "Cirsium_arvense" 0.614805296 0.258817956 0.860276437
"10" "gp1" "Clinopodium_vulgare" 0.31155819 0.131158368 0.639345273
"11" "gp1" "Colchicum_autumnale" 0.358592891 0.145764315 0.61443105
"12" "gp1" "Convolvulus_arvensis" 0.49610837 0.201662922 0.757942143
"13" "gp1" "Convolvulus_sepium" 0.299259982 0.121646087 0.572373844
"14" "gp1" "Daucus_carota" 0.3366355 0.13683886 0.618220261
"15" "gp1" "Erica_tetralix" 0.195668582 0.07953726 0.587116482
"16" "gp1" "Erigeron_karvinskianus" 0.376658881 0.164716538 0.601776229
"17" "gp1" "Eupatorium_cannabinum" 0.352823631 0.143419167 0.732983781
"18" "gp1" "Filipendula_ulmaria" 0.576469204 0.234328775 0.591221756
"19" "gp1" "Galium_aparine" 0.373566025 0.151850727 0.64310796
"20" "gp1" "Galium_verum" 0.439257658 0.178553712 0.59290879
"21" "gp1" "Geranium_robertianum" 0.260115504 0.109502252 0.619623655
"22" "gp1" "Hypochaeris_radicata" 0.192282267 0.078160763 0.673066606
"23" "gp1" "Jasione_montana" 0.454218279 0.191214767 0.719773711
"24" "gp1" "Lamium_maculatum" 0.324174828 0.136469649 0.674651373
"25" "gp1" "Leucanthemum_vulgare" 0.325150133 0.132170166 0.568444098
"26" "gp1" "Malva_alcea" 0.294245591 0.12387019 0.648182443
"27" "gp1" "Malva_sylvestris" 0.273218672 0.133875478 0.636960437
"28" "gp1" "Melilotus_albus" 0.112864199 0.045878129 0.673953339
"29" "gp1" "Mentha_suaveolens" 0.309468655 0.125795815 0.671686073
"30" "gp1" "Myosotis_arvensis" 0.510921271 0.207684214 0.707356697
"31" "gp1" "Oenothera_rosea" 0.420357685 0.176960288 0.792297252
"32" "gp1" "Origanum_vulgare" 0.154826038 0.065177971 0.610877871
"33" "gp1" "Prunella_vulgaris" 0.493162959 0.241681256 1.097995167
"34" "gp1" "Rhinanthus_angustifolius" 0.306071042 0.133847808 0.651987412
"35" "gp1" "Rubus_caesius" 0.32120227 0.130565405 0.597684207
"36" "gp1" "Sambucus_ebulus" 0.466000478 0.189424378 0.58644899
"37" "gp1" "Sambucus_nigra" 0.391098887 0.158977654 0.61372275
"38" "gp1" "Saponaria_officinalis" 0.46321475 0.195002068 0.827583276
"39" "gp1" "Scabiosa_columbaria" 0.415052975 0.168714751 0.644210563
"40" "gp1" "Solanum_nigrum" 0.363973025 0.147951275 0.623593385
"41" "gp1" "Thymus_praecox" 0.329391225 0.133894127 0.638724835
"42" "gp1" "Trifolium_pratense" 0.357550274 0.15051992 0.711805142
"43" "gp1" "Trifolium_repens" 0.462957375 0.18818739 0.610255906
"44" "gp1" "Valeriana_officinalis" 0.378125823 0.153704235 0.628689956
"45" "gp1" "Veronica_arvensis" 0.355311571 0.149577478 0.699836149
"46" "gp1" "Veronica_chamaedrys" 0.319865274 0.134655449 0.685911535
"47" "gp1" "Veronica_persica" 0.364141076 0.153294472 0.703997596
"48" "gp1" "Vicia_sepium" 0.335812781 0.141368959 0.764955773
"49" "gp2" "Agrimonia_eupatoria" 0.316704392 0.160520791 0.700944104
"50" "gp2" "Helminthia_echioides" 0.347701288 0.173828816 0.620413922
"51" "gp2" "Hypericum_maculatum" 0.266885159 0.135270047 0.620896392
"52" "gp2" "Hypericum_perforatum" 0.359109053 0.179531966 0.627534325
"53" "gp2" "Lapsana_communis" 0.360234495 0.194294328 0.677051914
"54" "gp2" "Lathyrus_pratensis" 0.267488479 0.116975279 0.694812702
"55" "gp2" "Lotus_corniculatus" 0.249431232 0.12795895 0.640000351
"56" "gp2" "Oenothera_erythrosepala" 0.334783458 0.167370709 0.598700864
"57" "gp2" "Potentilla_crantzii" 0.728076283 0.399670652 0.666947157
"58" "gp2" "Potentilla_erecta" 0.353524111 0.176739852 0.625582835
"59" "gp2" "Potentilla_reptans" 0.273545644 0.136755648 0.675683702
"60" "gp2" "Ranunculus_repens" 0.733300803 0.395509554 0.674260423
"61" "gp2" "Senecio_inaequidens" 0.363095315 0.183099323 0.633761245
"62" "gp2" "Sinapis_arvensis" 0.194931171 0.098800349 0.679298124
"63" "gp2" "Taraxacum_officinale" 0.435630663 0.223479818 0.707745515
"64" "gp2" "Tussilago_farfara" 0.330358549 0.16659103 0.654372379
"65" "gp2" "Ulex_europaeus" 0.329765686 0.144209694 0.570193436
"66" "gp2" "Verbascum_thapsus" 0.202552618 0.101263591 0.604546354
"67" "inv" "Impatiens_glandulifera" 0.418689889 0.204034893333333 0.859905211666667
"68" "inv" "Buddleja_davidii" 0.35900423 0.151131989 0.682151092
"69" "inv" "Reynoutria_japonica" 0.346879475 0.141002919 0.643687053
"70" "inv" "Spiraea_japonica" 0.409498861 0.166457056 0.646152785
